"Uniprot_ID","All_ids","First_id"
"Q61464","A0A0N4SV80;Q61464-4;E9QML5;Q61464;A0A0N4SV38;A0A0N4SVI8;E9QKZ7;Q61464-7;Q61464-5;Q61464-2","A0A0N4SV80"
"Q6PFR5","A0A0N4SVC2;E9QP00;Q6PFR5;Q3TAP5","A0A0N4SVC2"
"Q80XI3","A0A0N4SVL0;A2AMI2;Q80XI3;Q80XI3-3;Q6DI78","A0A0N4SVL0"
"Q9DAS9","A0A0N4SW28;Q9DAS9;A0A0N4SVT3","A0A0N4SW28"
"Q8R361","A0A0N4SW73;Q6ZQ33;Q8R361;Q3UM85","A0A0N4SW73"
"A0A0N4SW93","A0A0N4SW93;Q7TPS5-2","A0A0N4SW93"
"Q9ESD7","A0A0N4SWG7;A0A0N4SVX9;E9QL12;E9PXU9;A0A0N4SWH3;A0A0N4SUN3;Q9ESD7;E9Q423;A0A0N4SV63;Q9ESD7-2;A0A0N4SUJ2;Q9ESD7-3","A0A0N4SWG7"
"Q9DC69","A0A0R3P9C8;Q9DC69","A0A0R3P9C8"
"P09803","Q4KML8;A0A0R4IZW5;P09803","Q4KML8"
"Q3TX08","H3BKS8;E9PWD4;A0A0R4IZW7;Q3TX08;Q3TD26;Q8R2M8","H3BKS8"
"A0A0R4IZW8","A0A0R4IZW8;A0A0R4J1C2","A0A0R4IZW8"
"Q9DCT5","Q6P5I1;A0A0R4IZW9;Q9DCT5;Q5I0W5","Q6P5I1"
"Q9JHL1","A0A0R4IZX2;Q9JHL1;Q6NS54","A0A0R4IZX2"
"Q8C1A5","A0A0R4IZY0;Q8C1A5","A0A0R4IZY0"
"Q91XI1","A0A0R4IZY9;Q91XI1;Q91XI1-2","A0A0R4IZY9"
"Q6ZQ03","A0A0R4IZZ6;Q6ZQ03;Q6ZQ03-2;Q6ZQ03-3","A0A0R4IZZ6"
"Q8VC57","A0A0R4J000;Q8VC57;Q6ZQH5","A0A0R4J000"
"Q5U419","A0A0R4J004;Q5U419","A0A0R4J004"
"A0A0R4J005","A0A0R4J005;E9QP62;A8CVP1;Q4ZJB3;Q9D7B2","A0A0R4J005"
"P70261","B2RQ13;A0A0R4J007;B7ZMW5;P70261;B7ZMW4","B2RQ13"
"P70288","A0A0R4J008;P70288;Q8BQ10","A0A0R4J008"
"Q8CGV9","A0A0R4J017;Q8CGV9;Q8BY61;Q8BI40","A0A0R4J017"
"O55060","A0A0R4J018;O55060;D3Z380;D3Z217;D3YWK6;D6RIK3;D3Z0R1","A0A0R4J018"
"Q9JLZ3","A0A0R4J023;Q9JLZ3;F6RT60;F6R307","A0A0R4J023"
"Q924T3","A0A0R4J024;Q924T3;A0A0R4J1Y0;Q924T3-2","A0A0R4J024"
"Q6NXM2","A0A0R4J025;Q8BTL0;Q6NXM2;G3UZ62","A0A0R4J025"
"P47931","Q8BNY0;A0A0R4J026;P47931","Q8BNY0"
"A0A0R4J034","A0A0R4J034;Q99K01-2;Q99K01-3","A0A0R4J034"
"Q8C3P7","A0A0R4J041;Q8C3P7;Q3U6J4;Q8C3P7-2;G3UZP2","A0A0R4J041"
"P57724","Q9DB01;A0A0R4J044;P57724;A0A087WRH3;Q8BP63;A0A087WSI1","Q9DB01"
"P53569","A0A0R4J046;P53569","A0A0R4J046"
"Q8CIG8","A0A0R4J049;Q8CIG8","A0A0R4J049"
"Q99JW2","A0A0R4J050;Q99JW2;A0A087WPX1","A0A0R4J050"
"A0A1D5RMB5","A0A1D5RMB5;A0A0R4J055;A0A1D5RLL6;A0A1D5RLY0","A0A1D5RMB5"
"Q8BIH0","A0A0R4J060;J3QNK5;Q8BIH0-2;Q8BIH0","A0A0R4J060"
"O08983","E9PYL0;Q80VD7;Q5FWJ4;Q8CD56;E9Q045;Q3TBI2;A0A0R4J062;Q3U309;O08983","E9PYL0"
"Q8VDL4","Q3UDS7;Q3TJ10;A0A0R4J064;Q8VDL4-3;Q8VDL4","Q3UDS7"
"Q8BGE6","A0A0R4J065;Q8BGE6;Q3UNF6;A0A087WNY2;A0A087WRT0","A0A0R4J065"
"Q5U5Q9","A0A0R4J073;Q5U5Q9;E9Q577;A0A0R4J183;Q5U5Q9-3;Q5U5Q9-2","A0A0R4J073"
"Q8VCH8","A0A0R4J078;Q8VCH8;Q3ULE5","A0A0R4J078"
"Q8BMP6","A0A0R4J079;Q6P9T6;Q8BMP6;Q3TJW1","A0A0R4J079"
"Q9CWX2","A0A0R4J081;A2AQ17;Q9CWX2","A0A0R4J081"
"P51174","A0A0R4J083;P51174","A0A0R4J083"
"Q91YN5","A0A0R4J085;Q3UHZ7;Q3TAD4;Q91YN5-3;Q91YN5;A0A0R4J1F6;Q91YN5-2","A0A0R4J085"
"Q8BK62","A0A0R4J086;Q8BK62","A0A0R4J086"
"P20352","A0A0R4J088;P20352;Q8R3Q1","A0A0R4J088"
"P11609","A0A0R4J090;P11609;E9QLX1;P11610","A0A0R4J090"
"Q9JKP7","A0A0R4J091;Q9JKP7","A0A0R4J091"
"Q8K2I4","A0A0R4J092;Q8K2I4","A0A0R4J092"
"Q3TC72","A0A0R4J094;Q3TC72","A0A0R4J094"
"O88393","A0A0R4J097;O88393","A0A0R4J097"
"O88291","A0A0R4J098;O88291;D3YXQ7;O88291-2","A0A0R4J098"
"Q3UY34","A0A0R4J099;Q3UY34","A0A0R4J099"
"Q05512","A0A0R4J227;A0A0R4J0B1;E9QMP6;Q571J8;Q05512-3;Q05512-4;Q05512;E9Q9N6;E9PYX3;Q3T9A3;F6ZS70;Q3U3A1;Q05512-2","A0A0R4J227"
"O70405","Q80TT3;Q3U350;A0A0R4J0B3;O70405;Q3U0V5;Q6PB82;Q3UFT4","Q80TT3"
"Q99KK2","A0A0R4J0B4;Q99KK2;Q99KK2-2","A0A0R4J0B4"
"Q91W34","A0A0R4J0B5;Q91W34","A0A0R4J0B5"
"Q7TMS5","S4R2E1;W8DLN2;A0A0R4J0B6;Q7TMS5;D3Z150;A0A0N4SWA2;Q3UQE4","S4R2E1"
"Q8R3Q0","A0A0R4J0D1;Q8R3Q0","A0A0R4J0D1"
"Q3TDQ1","A0A0R4J0D3;Q3TDQ1","A0A0R4J0D3"
"Q7TQK1","A0A0R4J0E4;Q7TQK1;Q7TQK1-2","A0A0R4J0E4"
"Q99KY4","Q3UIZ0;A0A0R4J0F6;Q99KY4-2;Q99KY4;Q3UDE5","Q3UIZ0"
"Q8BH04","A0A0R4J0G0;Q8BH04;Q8R3X7;Q3UGF0","A0A0R4J0G0"
"Q6VN19","A9UGK3;A0A0R4J0G4;Q6VN19","A9UGK3"
"Q6NWW9","A0A0R4J0H8;Q6NWW9","A0A0R4J0H8"
"Q80XL6","A0A0R4J0I6;Q80XL6;D3YTQ5","A0A0R4J0I6"
"Q91ZX7","A0A0R4J0I9;Q91ZX7","A0A0R4J0I9"
"Q8K114","A0A0R4J0J5;Q8K114;Q8K114-2","A0A0R4J0J5"
"Q8BKT7","A0A0R4J0J6;Q8BKT7;Q5SVF9","A0A0R4J0J6"
"Q2KN98","A0A0R4J0J8;Q2KN98;Q6GQV8","A0A0R4J0J8"
"Q9ERR7","A0A0R4J0K1;Q9ERR7","A0A0R4J0K1"
"A2AGT5","A0A0R4J0K2;K3W4R5;A2AGT5-3;A2AGT5;Z4YL78;A2AGT5-2;Q80U79","A0A0R4J0K2"
"Q9CRG1","A0A0R4J0K4;Q9CRG1","A0A0R4J0K4"
"Q8R3I3","A0A0R4J0L5;Q8BRB0;Q8R3I3;Q8C7Y2","A0A0R4J0L5"
"Q8BJZ4","A0A0R4J0L6;Q8BJZ4","A0A0R4J0L6"
"Q8VCN9","A0A0R4J0M1;Q8VCN9","A0A0R4J0M1"
"Q3SXB8","A0A0R4J0M6;Q3SXB8;Q3SXB8-2","A0A0R4J0M6"
"Q8CDG3","A0A0R4J0M9;Q80T83;Q8CDG3;Q8CDG3-2;Q05DM9;Q3UMT4","A0A0R4J0M9"
"P46718","A0A0R4J0N5;P46718;A2T4N6;Q6RI66;Q7TNW4","A0A0R4J0N5"
"Q9D7B6","A0A0R4J0P1;Q9D7B6;D3YTT4","A0A0R4J0P1"
"P97814","A0A0R4J0P5;P97814","A0A0R4J0P5"
"Q8VDG3","A0A0R4J0P6;Q8VDG3;Q3TUQ8","A0A0R4J0P6"
"P97873","A0A0R4J0Q4;P97873;Q8BP04","A0A0R4J0Q4"
"A0A0R4J0Q6","A0A0R4J0Q6","A0A0R4J0Q6"
"Q3UM29","A0A0R4J0Q9;Q3UM29;Q3TR20","A0A0R4J0Q9"
"O70404","A0A0R4J0R1;O70404","A0A0R4J0R1"
"Q91W92","A0A0R4J0S1;Q91W92","A0A0R4J0S1"
"Q80Y17","A0A0R4J0S4;Q80Y17","A0A0R4J0S4"
"Q8CGB3","A0A0R4J0S7;Q8CGB3;Q8CGB3-3;Q8CIA8;Q8CGB3-2","A0A0R4J0S7"
"Q80YF6","A0A0R4J0S8;Q80YF6;Q80YF6-2","A0A0R4J0S8"
"Q8K3A0","A0A0R4J0T0;Q8K3A0","A0A0R4J0T0"
"O88351","A0A0R4J0T4;Q5D0E0;O88351;Q05DR8","A0A0R4J0T4"
"Q01721","A0A0R4J0T7;Q01721;Q7TNT6","A0A0R4J0T7"
"Q9D8S3","A0A0R4J0T8;Q9D8S3","A0A0R4J0T8"
"Q0VGB7","A0A0R4J0U2;Q0VGB7;A0A0N4SV05","A0A0R4J0U2"
"Q8R395","A0A0R4J0U7;Q8R395","A0A0R4J0U7"
"A2RSY6","A0A0R4J0U8;A2RSY6;A2RSY6-2","A0A0R4J0U8"
"Q8K2A7","E9Q360;A0A0R4J0V1;Q8K2A7;E9Q361;Q8BXH8","E9Q360"
"Q9QXM1","A0A0R4J0V4;Q9QXM1-3;Q9QXM1","A0A0R4J0V4"
"P08775","A0A0R4J0V5;P08775;O08847","A0A0R4J0V5"
"Q8CI85","Q8K2J1;Q3TC80;A0A0R4J0W4;Q8CI85","Q8K2J1"
"Q9CRC8","A0A0R4J0W6;Q9CRC8;Q78KN5","A0A0R4J0W6"
"Q9ES28","A0A0R4J0X8;Q9ES28-8;Q9ES28-4;Q9ES28-2;Q9ES28-7;Q9ES28;D3Z0V2;Q9ES28-3;Q9ES28-6;Q9ES28-5","A0A0R4J0X8"
"Q6DFV5","A0A0R4J0Y3;Q6DFV5;Q6DFV5-3;A2AAU3;Q6DFV5-2;A2AAU5","A0A0R4J0Y3"
"Q3U6U5","A0A0R4J0Z0;Q3U6U5;Q8VDE1;Q8K372","A0A0R4J0Z0"
"P08003","A0A0R4J0Z1;P08003","A0A0R4J0Z1"
"P13808","A0A0R4J1K4;A0A0R4J1K9;Q7TPS4;Q3UKP0;A0A0R4J101;P13808-2;P13808-3;P13808;Q3UGM4;P13808-4;P13808-5","A0A0R4J1K4"
"Q7TN99","D3Z1R6;A0A0R4J102;Q7TN99-4;Q7TN99-3;Q7TN99-2;Q7TN99;D3Z5R9;F6T0J8;Q7TN99-6;Q7TN99-5","D3Z1R6"
"P98078","A0A0R4J104;P98078;E9QL31;P98078-2;F6TQN9;E9PX84;Q3TRE6;P98078-3;Q3TRI2;Q3TN55;Q3TMQ2","A0A0R4J104"
"Q8R146","A0A0R4J107;Q8R146-2;Q8R146","A0A0R4J107"
"Q8BTT6","A0A0R4J114;Q8BTT6;A0A0A6YWS6","A0A0R4J114"
"Q8R366","G3UYZ1;A0A0R4J117;Q8R366","G3UYZ1"
"O54781","A0A0R4J124;O54781","A0A0R4J124"
"Q8CIF4","A0A0R4J131;Q8CIF4","A0A0R4J131"
"P50429","A0A0R4J138;P50429;B2RWQ7;P50429-2","A0A0R4J138"
"Q8BU85","A0A0R4J139;Q8BU85;D3YUC9","A0A0R4J139"
"Q5SW19","A0A0R4J140;Z4YLI8;Q5SW19;Q5SW19-3;Q5SW19-2","A0A0R4J140"
"Q3TKT4","A0A0R4J170;Q3TKT4;Q3TKT4-2;Q3URH5;G3UX35;Q3UI73;Q8R0K1","A0A0R4J170"
"Q9R0Z9","E9QKB1;A0A0R4J171;E9PXD2;B9EKA3;D5M8I5;Q9R0Z9;Q9R0Z9-2","E9QKB1"
"Q9QZH6","A0A0R4J174;Q9QZH6;J3KMM6","A0A0R4J174"
"P23475","A0A0R4J187;P23475","A0A0R4J187"
"Q9CSU0","A0A0R4J195;Q9CSU0;Q9CSU0-2;F6YB25;Q9CSU0-3","A0A0R4J195"
"Q8C310","Q6IR38;A0A0R4J197;E9QN68;D3Z4M4;Q8C310-2;Q8C310;Q8C310-3","Q6IR38"
"P59108","A0A0R4J1D0;P59108;Q3TVB2","A0A0R4J1D0"
"Q8BLY1","E9QKW2;A0A0R4J1E4;D3Z3A3;Q8BLY1-2;Q8BLY1","E9QKW2"
"Q61144","A0A0R4J1F2;Q3U4P5;Q61144;Q61144-2","A0A0R4J1F2"
"Q91X78","A0A0R4J1G5;Q91X78","A0A0R4J1G5"
"Q9QXN0","A0A0R4J1H8;E9QMY5;Q9QXN0-4;Q9QXN0-2;Q9QXN0-3;Q9QXN0;E9Q6I3;B7ZNA0","A0A0R4J1H8"
"Q8BT14","A0A0R4J1K1;Q8BT14-3;Q3TMD4;Q05BG1;E9QA19;Q8BT14-2;Q8BT14","A0A0R4J1K1"
"A0A0R4J1L2","A0A0R4J1L2;Q91VK2;F6ZFU0;P57776-2","A0A0R4J1L2"
"Q5HZI1","A0A0R4J1L9;Q5HZI1","A0A0R4J1L9"
"Q9D2L1","A0A0R4J1N2;Q9D2L1","A0A0R4J1N2"
"Q02357","G5E8J2;B7ZW98;E9QNT8;G8JL84;D3YTV8;D3Z5M4;Q0VGY9;A0A0R4J1N7;Q02357-5;Q02357-2;Q02357;Q02357-3;Q02357-4;Q02357-6;G3UY11;D6RJ51","G5E8J2"
"P40630","A0A0R4J1N9;P40630-2;P40630;Q3TSW9;D3Z0F3","A0A0R4J1N9"
"P06802","G3X9S2;A0A0R4J1Q7;P06802-2;P06802;Q3V3C8","G3X9S2"
"Q9DBY1","E9QQ99;D3Z1Y1;A0A0R4J1R1;Q9DBY1;Q9DBY1-2","E9QQ99"
"Q9CZL5","A0A0R4J1R7;Q9CZL5","A0A0R4J1R7"
"Q75N73","A0A0R4J1V1;Q75N73","A0A0R4J1V1"
"Q8BGZ4","A0A0R4J1W7;Q8BGZ4;Q8BGZ4-2;G3X8W7;Q3TEF0","A0A0R4J1W7"
"Q8BWU5","A0A0R4J1Y3;Q3UQ67;Q58EU1;Q8BWU5;E0CYN9;E9QMF4","A0A0R4J1Y3"
"P23708","F6TWX0;F7DFJ2;A0A0R4J1Y8;Q8K2W1;Q3UP82;E0CYF3;Q9DBV7;P23708-2;P23708","F6TWX0"
"Q9CR67","A0A0R4J1Z3;Q9CR67;Q9CWD1","A0A0R4J1Z3"
"Q8C1Z8","A0A0R4J205;B9EIT8;Q8C1Z8","A0A0R4J205"
