"UNIPROTKB","LENGTH"
"Q5DW34","1296"
"Q5SXY1","1067"
"P31266"," 526"
"Q8C1B7"," 431"
"O88712"," 441"
"A0A0J9YUG5"," 219"
"A0A0J9YUQ8"," 568"
"P70704","1164"
"Q9JLT4"," 524"
"Q8BKS9"," 647"
"Q9QZ23"," 255"
"A0A0N4SUI7","  68"
"B2RRD7","1212"
"Q9WV72"," 525"
"Q61464","1960"
"Q6PFR5"," 281"
"Q80XI3","1579"
"Q91WI7"," 443"
"Q9DAS9","  72"
"Q8R361"," 645"
"A0A0N4SW93","1052"
"Q8BZJ7"," 259"
"Q9ES18"," 565"
"Q9ESD7","2090"
"Q9DC69"," 377"
"P09803"," 884"
"Q3TX08"," 663"
"A0A0R4IZW8"," 268"
"Q9DCT5"," 211"
"Q8C2K1"," 630"
"Q9JHL1"," 337"
"Q8C1A5"," 687"
"Q91XI1"," 637"
"Q6ZQ03","1031"
"Q8VC57"," 234"
"Q5U419"," 412"
"A0A0R4J005"," 337"
"P70261"," 859"
"P70288"," 488"
"Q8CGV9","1081"
"O55060"," 240"
"Q9JLZ3"," 314"
"Q924T3"," 326"
"Q6NXM2"," 531"
"P47931"," 344"
"Q8R1P4"," 215"
"Q8C006"," 501"
"A0A0R4J034"," 789"
"Q6AZB0","1110"
"Q8C3P7"," 580"
"P57724"," 403"
"P53569","1052"
"Q8CIG8"," 637"
"Q99JW2"," 408"
"A0A1D5RMB5","1576"
"Q8BIH0","1057"
"O08983"," 704"
"Q8VDL4"," 496"
"Q8BGE6"," 393"
"Q5U5Q9"," 727"
"Q8VCH8"," 506"
"Q8BMP6"," 525"
"Q9CWX2"," 328"
"P51174"," 430"
"Q91YN5"," 522"
"Q8BK62"," 406"
"P20352"," 294"
"P11609"," 336"
"Q9JKP7"," 145"
"Q8K2I4"," 879"
"Q3TC72"," 313"
"O88393"," 850"
"O88291"," 580"
"Q3UY34"," 256"
"Q05512"," 776"
"O70405","1051"
"Q99KK2"," 432"
"Q91W34"," 466"
"Q7TMS5"," 657"
"Q7TMF2"," 345"
"Q8R3Q0"," 334"
"Q3TDQ1"," 823"
"Q6PDG8"," 556"
"Q7TQK1"," 966"
"Q99KY4","1305"
"Q8BH04"," 640"
"Q6VN19"," 620"
"Q6S5C2"," 307"
"Q8K2Z4","1392"
"Q6NWW9","1207"
"P70459"," 551"
"Q91ZX7","4545"
"Q8K114"," 658"
"Q8BKT7"," 683"
"Q2KN98","1118"
"Q9ERR7"," 162"
"A2AGT5","2032"
"Q9CRG1"," 565"
"Q8R3I3"," 657"
"Q8BJZ4"," 320"
"Q8VCN9"," 341"
"Q8CDG3","1220"
"Q70E20","1403"
"P46718"," 343"
"Q9D7B6"," 413"
"P97814"," 415"
"Q8VDG3"," 624"
"P97873"," 607"
"A0A0R4J0Q6"," 734"
"Q3UM29"," 770"
"O70404"," 101"
"Q91W92"," 409"
"Q80Y17","1036"
"Q8CGB3","1411"
"Q80YF6"," 275"
"Q8K3A0"," 234"
"O88351"," 757"
"Q01721"," 343"
"Q9D8S3"," 523"
"Q0VGB7"," 417"
"Q8R395"," 224"
"A2RSY6"," 728"
"Q8K2A7"," 710"
"Q91ZP3"," 924"
"Q9QXM1"," 983"
"P08775","1970"
"Q9CRC8"," 602"
"Q9ES28"," 862"
"Q6DFV5","1964"
"Q3U6U5"," 514"
"P08003"," 638"
"P13808","1237"
"Q7TN99"," 716"
"P98078"," 766"
"Q8R146"," 732"
"Q8BTT6"," 772"
"Q8R366"," 611"
"O54781"," 681"
"Q8CIF4"," 520"
"P50429"," 534"
"Q8BU85"," 253"
"Q5SW19","1315"
"Q3TKT4","1613"
"Q9QZH6"," 435"
"Q3UQU0"," 596"
"P23475"," 608"
"Q9CSU0"," 326"
"Q8C310","1012"
"Q91YY4"," 289"
"P31996"," 326"
"P59108"," 548"
"Q61144"," 448"
"Q91X78"," 348"
"Q8CI59"," 488"
"Q8BT14"," 575"
"Q5HZI1","1210"
"Q9D2L1"," 553"
"Q02357","1862"
"P40630"," 243"
"P06802"," 906"
"Q9DBY1"," 612"
"Q9CZL5"," 136"
"Q75N73"," 489"
"Q8BGZ4"," 597"
"Q8BWU5"," 335"
"Q9CR67"," 247"
"Q9Z223"," 189"
"O35177"," 833"
"Q3UFS4"," 262"
"Q8C650"," 452"
"Q922Q9"," 393"
"Q8BR65"," 328"
"P12400"," 113"
"Q61070"," 340"
"Q9ESJ0","1151"
"P28076"," 219"
"A0A0R4J259"," 561"
"B2RRE7","1107"
"O35083"," 285"
"O70458"," 971"
"P58462"," 705"
"O70348"," 397"
"Q9D958"," 161"
"Q6WVG3"," 327"
"Q8BX09"," 538"
"Q60753"," 203"
"O55028"," 412"
"Q8K479"," 243"
"Q8BTH8"," 459"
"Q8VDP6"," 213"
"Q8K284","2101"
"Q8R089"," 466"
"A0A0U1RQ91"," 205"
"Q8C4Y3"," 580"
"Q3TAS6"," 258"
"Q9WVA3"," 326"
"Q9R0M8"," 390"
"Q8JZS9"," 211"
"Q61072"," 845"
"Q3TRM4","1355"
"Q7TSJ2"," 906"
"Q5SSH7","2924"
"E9Q394","2776"
"Q9R257"," 190"
"Q6IE82"," 823"
"Q8K327"," 802"
"P11404"," 133"
"Q60931"," 283"
"P03930","  67"
"P03921"," 607"
"Q6GU68"," 428"
"Q9CW46"," 748"
"Q9WV03"," 339"
"Q9CR70"," 148"
"Q9DBD5","1123"
"P97321"," 761"
"A0A1B0GQZ3"," 207"
"Q64700","1135"
"Q921G8"," 905"
"Q93092"," 337"
"Q8VI63"," 235"
"A0A1B0GR85","1767"
"P70302"," 685"
"Q9D2Y6"," 357"
"P48377"," 963"
"Q8BGF6"," 293"
"Q9QYY0"," 695"
"Q9CXT7"," 266"
"Q8K221"," 341"
"Q8K4L3","2170"
"Q571I9"," 802"
"P06151"," 332"
"Q6PFD9","1816"
"O35153"," 111"
"Q07813"," 192"
"Q3U2I3"," 975"
"Q99K51"," 630"
"Q8CGZ0"," 936"
"Q8BG67"," 819"
"Q80YV3","2565"
"Q3UU96","1719"
"Q9D2X5"," 619"
"Q6VNB8","3508"
"Q8BWH0"," 463"
"Q6NZC7"," 998"
"Q8K2D3"," 508"
"Q8BFV2"," 399"
"Q8BUV3"," 769"
"Q62448"," 906"
"Q9ERF3"," 305"
"Q9CYI0"," 393"
"Q78PG9"," 208"
"E9PYF4","1699"
"E9QAE3","1848"
"B7ZNW0"," 288"
"A1A4T2"," 966"
"O55098"," 966"
"Q8BU03"," 919"
"A1BN54"," 887"
"P51807"," 113"
"Q8BX70","3748"
"Q9CS00"," 772"
"P84228"," 136"
"P28660","1128"
"Q6Q899"," 926"
"Q61214"," 763"
"Q9WUN2"," 729"
"Q9D7Z3"," 254"
"P26516"," 321"
"A2A432"," 970"
"Q8R4D1"," 576"
"O09000","1398"
"A2A4A1",NA
"Q62077","1302"
"A2A4P0","1244"
"Q9D1C1"," 179"
"P84099"," 196"
"Q9CQV8"," 246"
"A2A5R2","1792"
"P55194"," 680"
"A2A5Z6"," 748"
"E9Q6A7","2921"
"A2A699"," 822"
"A2A6A1","1505"
"A2A6Q5"," 825"
"Q3TB48"," 496"
"Q8CFX1"," 789"
"Q9WU20"," 654"
"A2A7S7"," 564"
"A2A7S8","1013"
"Q9CQH7"," 158"
"A2A8L5","1898"
"A2A8R0","1397"
"B2RX14","1644"
"A2A8U2"," 664"
"O08605"," 427"
"A2A8Z1"," 736"
"O35166"," 212"
"Q8R1A4","2130"
"Q8BHG1","1161"
"Q3UBZ5"," 222"
"Q8BMI3"," 718"
"O35250"," 697"
"A2AAY5"," 908"
"Q922E4"," 404"
"P70245"," 230"
"Q8BQZ4","1484"
"Q8K4Q0","1335"
"E1U8D0","1418"
"Q9QXG2"," 665"
"Q99JT2"," 416"
"Q80TQ5","1018"
"Q9CQY5"," 335"
"Q8R3G1"," 351"
"A2ADY9"," 399"
"Q9DBT5"," 798"
"Q99LI2"," 539"
"Q91VJ5"," 263"
"Q64092"," 572"
"P97447"," 280"
"A2AF47","2073"
"O35638","1231"
"Q9R0M6"," 201"
"Q7TMY8","4377"
"Q64430","1491"
"A2AGH6","2190"
"A2AH85"," 972"
"Q9Z0G4"," 251"
"Q80UP3"," 929"
"Q8CJ12","1009"
"Q8BWJ3","1235"
"A2AI08"," 749"
"P18826","1241"
"A2AIG8"," 502"
"P43028"," 454"
"A2AIV2","1811"
"E9QAT4","2357"
"A2AJ15"," 658"
"A2AJ72"," 569"
"O70311"," 529"
"Q3UV70"," 538"
"A2AJQ3"," 722"
"A2AJT4"," 805"
"Q61234"," 503"
"A2AKG8","1798"
"O09044"," 210"
"A2AKU9"," 297"
"Q8C0I1"," 645"
"Q8BSY0"," 741"
"Q62276"," 200"
"Q6PAQ4"," 432"
"Q6NZB0"," 253"
"A2ALU4","1481"
"A2ALW5"," 357"
"O08579"," 259"
"Q6ZWV3"," 214"
"Q6X893"," 653"
"O55242"," 223"
"Q9D0I8"," 239"
"Q91VX2","1132"
"A2AMZ4","  74"
"A2AN08","5180"
"O88851"," 186"
"A2ANY6","5589"
"Q3UIU2"," 128"
"Q8BIF0"," 237"
"Q8BYK8","1177"
"Q9QY24"," 411"
"Q9JI18","4599"
"P15379"," 778"
"A2APV2","1086"
"Q3V1V3"," 845"
"A2APY7"," 343"
"A2AQ19"," 715"
"A2AQ25","1946"
"Q80TY0"," 616"
"Q8CFQ3","1481"
"Q6A098","1086"
"Q8BXN9"," 555"
"Q8BVW0"," 898"
"Q9Z1W9"," 556"
"Q9QXG4"," 701"
"Q99LS1"," 296"
"Q9D975"," 136"
"A2AR02"," 752"
"P70347"," 448"
"O54819"," 306"
"Q9QYR6","2776"
"A2ARV4","4660"
"E9QAM5","2947"
"Q68FH0","1190"
"Q9JLM9"," 538"
"A2AT37","1269"
"A2AT93"," 255"
"Q99JX3"," 451"
"Q7M6Z0"," 420"
"Q8BHL8"," 271"
"P70399","1969"
"Q9Z2H5"," 879"
"Q9QZ05","1648"
"Q3UHC7","1189"
"A2AVA0","3567"
"Q99PL5","1605"
"P0C090","1187"
"A2AVZ9"," 502"
"Q60767","1723"
"A2AWA9","1064"
"P25976"," 765"
"A2BDX3"," 460"
"A2BE28"," 776"
"P70175"," 849"
"O88487"," 612"
"P97863"," 570"
"Q9D868"," 188"
"Q9D8X0","  85"
"A2BH40","2283"
"P35283"," 243"
"A2CG49","2964"
"A2CG63","1314"
"A2RRK3","1202"
"Q9D1D6"," 245"
"Q9WUM3"," 484"
"Q11136"," 493"
"Q9R0Q3"," 201"
"P47941"," 303"
"Q8R3V6"," 388"
"Q62376"," 448"
"Q9CXE7"," 229"
"P63147"," 152"
"Q8K4M5"," 188"
"Q9CYP7"," 492"
"A2RSJ4","1457"
"Q9Z0J1"," 971"
"Q64191"," 346"
"P19783"," 169"
"A2RSX9"," 341"
"Q9CQC8"," 308"
"Q3KNM2"," 278"
"A2RTH5"," 332"
"O89017"," 435"
"P61089"," 152"
"Q8CJG1"," 857"
"Q61908","  68"
"A3KGB4","1114"
"A3KGF9"," 545"
"Q60952","2414"
"A3KGW5"," 592"
"Q8BIV3","1105"
"P59759","1080"
"P61759"," 196"
"P68254"," 245"
"A3KMP2"," 465"
"P14131"," 146"
"Q64318","1117"
"P15307"," 587"
"Q8K1L5"," 131"
"P97411"," 478"
"Q99NH2","1333"
"O35379","1528"
"Q9CPU0"," 184"
"A6H5X4"," 337"
"A6H5Y3","1253"
"A6H5Z3"," 810"
"Q9Z0E2"," 948"
"A6H611"," 711"
"A6H630"," 439"
"Q9JLV1"," 577"
"Q00175"," 926"
"A6H6A9"," 815"
"Q810U5"," 305"
"Q8CI61"," 457"
"A6H8H2","1906"
"Q8VE98"," 316"
"Q8R422","1442"
"Q61026","1462"
"Q91Y86"," 384"
"Q3V1T4"," 739"
"Q9CWU6"," 295"
"A6X919"," 746"
"P18654"," 740"
"Q9CQI3"," 142"
"Q91WK7"," 299"
"Q6PGD0"," 223"
"Q91XD7"," 420"
"A8C756","1938"
"P61982"," 247"
"A8Y5H7"," 715"
"Q9CWS4"," 600"
"A2AJI0"," 846"
"Q8CFI5"," 475"
"Q8VE73","1689"
"Q9QZI8"," 453"
"Q8R1N4"," 363"
"Q9JKW0"," 203"
"P63044"," 116"
"P61022"," 195"
"Q8VCH5"," 380"
"Q99PP2","2237"
"B0V2N1","1907"
"Q3UN02"," 376"
"Q9WV76"," 738"
"Q69ZH9","1483"
"Q8CHH9"," 429"
"P28741"," 701"
"B1AR13"," 137"
"B1AR17","2055"
"B1ARD6"," 910"
"B1ART1","4359"
"Q9D032"," 388"
"P52332","1153"
"O55047"," 718"
"Q64516"," 559"
"Q9D0M1"," 356"
"Q3UHC0","1690"
"P47740"," 484"
"Q9WVD4"," 746"
"Q99LI8"," 775"
"Q9Z0X1"," 612"
"Q9CWP6"," 518"
"Q99MD9"," 773"
"B1AUN2"," 452"
"Q62406"," 710"
"Q9QY36"," 235"
"Q3UJP5"," 209"
"Q9ESQ1","1691"
"B1AVY7","1312"
"B1AVZ0"," 310"
"O88207","1838"
"O08585"," 235"
"P97367"," 477"
"Q505F5"," 581"
"Q8K2Q5","  85"
"Q62036","1060"
"B1AXP6","  51"
"B1AY13","2617"
"Q8R5A3"," 670"
"Q9Z0T9"," 787"
"Q8C5N3"," 908"
"P0C0A3"," 200"
"Q8BKX1"," 535"
"B1AZA5"," 876"
"B1AZI6","1594"
"B1AZP2"," 992"
"Q6PDN3","1941"
"Q9D773"," 306"
"Q61036"," 559"
"Q08879"," 705"
"P14206"," 295"
"B2KF50","1429"
"Q3TT38"," 291"
"Q8BR07"," 835"
"Q505B7"," 168"
"Q8BQZ5"," 211"
"B2M1R6"," 440"
"P14211"," 416"
"P61021"," 215"
"Q8BGV8"," 463"
"Q8CDA1","1132"
"Q8R4C2"," 606"
"B2RQ71","1556"
"B2RQC6","2225"
"B2RQE8"," 841"
"B2RQG2","2025"
"Q7TT50","1713"
"P08122","1707"
"B2RQS1"," 712"
"Q8VHK9","1001"
"Q8BWZ3"," 972"
"Q3ULF4"," 781"
"Q8BXG3"," 429"
"Q8BWS5"," 763"
"Q8BZW8"," 725"
"Q499E4"," 774"
"Q9WVQ0","1022"
"Q9Z0R6","1659"
"B2RR83","1445"
"Q9WTQ5","1684"
"P35822","1457"
"Q3THK7"," 693"
"Q689Z5","1390"
"Q3V009"," 227"
"Q8BHC9"," 489"
"Q923K4"," 492"
"Q9WTV6"," 368"
"Q9JLB2"," 675"
"Q3U0V2"," 310"
"Q7JJ13"," 798"
"B2RS19",NA
"Q9Z1Y4"," 480"
"Q8BWF0"," 523"
"Q9Z1R4"," 293"
"Q9QYC7"," 757"
"P46935"," 887"
"B2RSH2"," 354"
"Q08091"," 297"
"Q2EMV9","1817"
"Q9CWF2"," 445"
"Q8BH47"," 307"
"Q3ULJ0"," 351"
"E9PY46","1464"
"Q6AW69","1298"
"B2RSU7","1680"
"Q921M3","1217"
"Q69ZL1","1399"
"Q78WZ7"," 330"
"Q9WVJ2"," 376"
"Q3UHX2"," 181"
"Q4FK66"," 312"
"Q3TMW1"," 549"
"O35945"," 501"
"P62806"," 103"
"Q91YM2","1499"
"Q7TSI3"," 856"
"Q6S5J6"," 736"
"O54818"," 204"
"Q9Z1Z2"," 350"
"Q61602","1583"
"Q61315","2845"
"B2RUJ5"," 842"
"Q5NCJ0","1601"
"Q80TH2","1402"
"Q3ULD5"," 563"
"Q8K363"," 660"
"Q3UMW8"," 341"
"P06795","1276"
"B2RUR8"," 840"
"Q5SYH2"," 208"
"Q9D1I2"," 183"
"Q8VHI3"," 429"
"Q99ML1"," 193"
"B2RVL6"," 241"
"Q3THW5"," 128"
"Q9D115","  76"
"Q3U3W2"," 474"
"Q3U898","  57"
"Q8BZA9"," 269"
"Q6GSS7"," 130"
"Q9EP89"," 551"
"B2RWS6","2412"
"Q8BZ47","1413"
"Q91V24","2159"
"Q9WVB4","1523"
"G3X9Z4","1553"
"Q6ZPS6","1085"
"Q8BWB6"," 489"
"Q5F2E8","1001"
"Q9CY00"," 664"
"B2RXC1","1133"
"B2RXC2"," 942"
"B2RXC6","1390"
"B2RXC8","1150"
"Q9D1J3"," 210"
"B2RXW8","1241"
"Q8BFQ4"," 313"
"Q8VD65","1358"
"B2RXR6"," 993"
"B2RXS4","1842"
"B2RXT3","1010"
"Q9R1A8"," 733"
"P01029","1738"
"P48758"," 277"
"Q91YE8","1087"
"B2RY04","1868"
"Q8BYC6"," 898"
"B2RY56"," 838"
"Q9ERI5"," 403"
"Q570Y9"," 409"
"Q7M732","1744"
"Q09163"," 385"
"Q3UVG3"," 837"
"Q8BTM8","2647"
"Q6DFV3","1944"
"Q3TPY5"," 446"
"Q9Z2V6","1113"
"B7ZMP1"," 506"
"Q76LS9"," 468"
"Q8BWD8"," 501"
"Q5DTX6","1320"
"P83093"," 746"
"Q9JHE3"," 756"
"Q8CHP6"," 981"
"B7ZNH7","1794"
"Q9Z0F8"," 827"
"Q9WTS6","2715"
"P63002"," 197"
"Q78ZA7"," 375"
"Q3V4B5","  87"
"P53995","1944"
"Q3UK78"," 256"
"Q8C4S8","1000"
"Q8C3B8"," 541"
"Q65Z40","1200"
"Q8C3F2","1091"
"O88939"," 569"
"Q62433"," 394"
"Q07113","2483"
"Q9Z0H7"," 233"
"Q8K371"," 772"
"Q58A65","1321"
"B8ZXI1"," 415"
"B9EHE8","1101"
"Q62010"," 721"
"B9EHJ3","1685"
"Q02053","1058"
"Q62388","3066"
"Q80W54"," 475"
"B9EHZ5"," 539"
"Q00322"," 268"
"P46664"," 456"
"Q8BZH4","1409"
"Q9WU60","1428"
"Q9WVL3","1083"
"Q80U49","1574"
"Q80UG2","1893"
"B9EJ54","2008"
"B9EJ80","1147"
"B9EJ86"," 889"
"B9EJR8"," 853"
"Q9D0W5"," 166"
"Q923J1","1863"
"Q3TZN9","1325"
"Q3UHI4"," 326"
"Q9Z0L8"," 317"
"B9EKI3","1091"
"Q6ZPY7","1562"
"Q8BHF7"," 553"
"Q80U74","1403"
"C0HK80"," 180"
"C4IXU1",NA
"Q4KML4","  81"
"Q8K5B2"," 145"
"D0EX61"," 361"
"D0QMC3"," 538"
"Q6Q477","1205"
"Q8R5F7","1025"
"P16858"," 333"
"D3YTP3"," 312"
"D3YTQ3"," 420"
"Q3UE17"," 643"
"Q8R0G7"," 528"
"Q9R0P6"," 179"
"Q8K2T1"," 309"
"Q8VCM8"," 563"
"Q9WU40"," 921"
"P57680","1005"
"Q91YT0"," 464"
"Q0P5W1","1427"
"Q9WVG6"," 608"
"Q8VBX6","2055"
"Q9R1R2"," 744"
"P98195","1146"
"Q80V91"," 347"
"Q8C0K5"," 332"
"P23249","1004"
"O55102"," 125"
"Q8K353"," 104"
"P62069"," 366"
"Q9JKN6"," 507"
"Q8BXA1"," 655"
"D3YW86"," 107"
"Q9DBU0"," 606"
"P19258"," 176"
"Q8CBY3"," 785"
"Q9R0I7","1386"
"P63030"," 109"
"O88838"," 264"
"Q7SIG6"," 958"
"Q8R3L5"," 710"
"D3YXG0","5634"
"D3YXG0-2",NA
"D3YXK2"," 937"
"Q9D1G2"," 192"
"Q9D945"," 130"
"O88448"," 599"
"Q91WT8"," 590"
"Q9D6N5"," 205"
"Q9CX30"," 311"
"O88974","1307"
"Q9Z2D3"," 512"
"O35678"," 303"
"Q922P9"," 546"
"D3YYU8","1804"
"Q91V81"," 478"
"Q9CY66"," 231"
"O08740"," 117"
"Q8R3B7"," 951"
"Q8R0P4"," 122"
"D3YZG8"," 338"
"D3YZN8"," 273"
"D3YZP9"," 469"
"D3YZZ5"," 224"
"P41216"," 699"
"O88545"," 324"
"Q922Y2"," 403"
"D3Z0K6"," 821"
"D3Z0M9"," 819"
"Q8BGB2"," 858"
"P62500","1077"
"D3Z194"," 850"
"Q6P2L6","1439"
"Q8C0M0"," 992"
"Q8BSQ9","1634"
"Q64362"," 292"
"Q9D710"," 295"
"D3Z2R5"," 557"
"Q9D6Y4"," 120"
"Q9DCL8"," 206"
"Q8C170","2542"
"Q9WUD8"," 179"
"Q8CHU6"," 493"
"D3Z3N4"," 346"
"Q921U8"," 923"
"O54967","1055"
"D3Z4I0"," 975"
"P54285"," 484"
"Q9WTZ1"," 113"
"O88824"," 146"
"Q9QZJ6"," 164"
"Q3ZK22"," 780"
"D3Z4L1"," 319"
"Q6PDH0","1371"
"P59481"," 347"
"D3Z4S3"," 140"
"Q9R020"," 330"
"O70258"," 437"
"D3Z5F7"," 333"
"D3Z5I1"," 996"
"Q5DU25","1478"
"Q9CXK9","1231"
"Q9JJX6"," 388"
"P24063","1163"
"Q9QZ88"," 182"
"Q8CHC4","1574"
"D3Z6G3"," 266"
"Q9WUB4"," 190"
"P0DMN7"," 334"
"Q8BM55"," 687"
"P61957","  95"
"Q9JK23"," 289"
"Q8BWY9"," 907"
"Q9Z2Q5"," 206"
"Q8BWT5","1523"
"Q8BL74"," 907"
"Q04891"," 613"
"Q9CPT5"," 178"
"D3Z7P3"," 674"
"D3Z7P3-2",NA
"Q640L3"," 753"
"Q6ZQK5"," 770"
"Q9CQ89"," 177"
"Q9DBM1"," 930"
"O70131"," 152"
"O09117"," 261"
"Q9Z280","1074"
"Q9CR20","  82"
"Q9CZQ6"," 251"
"Q9Z1M7"," 756"
"E0CX20",NA
"Q923B0"," 149"
"Q80V03"," 582"
"Q91X58"," 257"
"Q9CQX5"," 253"
"Q9CQ36"," 118"
"Q6PCP5"," 291"
"Q9ER69"," 396"
"Q8C6G8"," 641"
"Q6P6L0","1131"
"P97797"," 513"
"P23506"," 227"
"Q9EPV8","  73"
"E0CZ22","1640"
"P28740"," 705"
"Q8VBW6"," 534"
"P97471"," 551"
"Q8BP27"," 319"
"Q6P4S6","1311"
"Q571H0","2274"
"Q5BLK4","1491"
"Q8R0S2"," 961"
"P28662"," 125"
"Q2YDW2"," 556"
"Q8BSI6"," 488"
"Q61210"," 920"
"E9PUH7"," 494"
"Q8K012"," 605"
"Q52KI8"," 946"
"Q9Z138"," 944"
"Q9CQ33"," 837"
"Q921M4"," 999"
"E9Q1M6","2485"
"P06537"," 783"
"Q5XJI1"," 361"
"E9PUU4","1503"
"Q80ZA4","4249"
"E9PV38"," 560"
"O08808","1255"
"O35143"," 106"
"E9PV48"," 403"
"Q8BNJ2"," 833"
"E9PVA6"," 759"
"E9PVA8","2671"
"E9PVB5","1198"
"E9PVD3","3291"
"Q91WJ7"," 558"
"Q9QXZ0","7354"
"E9PW21"," 853"
"Q8BK63"," 337"
"Q8BKF1","1207"
"Q62188"," 570"
"Q05895"," 956"
"E9PWG2",NA
"E9PWG6","1004"
"O35099","1380"
"E9PWQ3","3284"
"P18653"," 724"
"Q8BLI0","1745"
"Q3UBH9"," 970"
"E9PWW9","1441"
"Q8BPM2"," 847"
"Q8K2V1"," 951"
"Q69Z37","1561"
"Q60847","3120"
"Q8BSF4"," 406"
"Q8CFI0","1004"
"Q9CSP9"," 761"
"Q8C2B3"," 938"
"Q91W90"," 417"
"E9PYB0","1738"
"E9PYG6","1038"
"Q62059","3357"
"E9PYH6","1716"
"E9PYK3","1969"
"E9PYL2","2035"
"Q9CXW4"," 178"
"Q9ES07"," 729"
"Q3U4A0"," 707"
"P97393","1501"
"Q99PP6"," 485"
"Q61207"," 557"
"Q05793","3707"
"E9PZ21"," 417"
"E9PZ26","1189"
"E9PZ73"," 415"
"E9PZB3",NA
"Q61147","1061"
"Q01768"," 152"
"Q61179"," 399"
"Q6P2L7"," 435"
"E9PZJ8","2198"
"E9PZM4","1827"
"Q9CSS1","1158"
"E9PZP8","4859"
"G3X9F7","1710"
"P47758"," 269"
"Q8BWW4"," 719"
"Q4KMM3"," 866"
"Q9QXL2","1672"
"E9Q0W3","  55"
"P46062","1037"
"E9Q137"," 309"
"Q61062"," 716"
"Q9EP82"," 413"
"E9Q166","1460"
"Q64331","1265"
"Q8R316"," 516"
"E9Q1G8"," 437"
"E9Q1P8"," 570"
"Q01405"," 765"
"Q8BM85"," 762"
"E9Q238","1360"
"E9Q2E4","4418"
"Q80TP3","2792"
"E9Q2I4","1089"
"Q9D920"," 195"
"O88522"," 412"
"O55128"," 153"
"Q7TN75"," 958"
"E9Q3G7","1142"
"E9Q3G8","1462"
"E9Q3L2","2105"
"E9Q3M9","1175"
"Q61490"," 583"
"E9Q3V6"," 321"
"Q3THX5"," 870"
"Q9ESE1","2856"
"E9Q411","2356"
"Q6P2K6"," 820"
"E9Q4F7","2643"
"E9Q4K7","1843"
"P54310"," 759"
"E9Q4N7","2244"
"E9Q4Q2"," 548"
"O70566","1098"
"E9Q4X2","1504"
"E9Q512","1976"
"E9Q555","5152"
"P46735","1107"
"E9Q585"," 715"
"O08788","1281"
"P69566"," 653"
"Q61581"," 281"
"Q80TF3","1145"
"E9Q5F9","2537"
"E9Q5K9"," 736"
"Q60680"," 745"
"E9Q616","5656"
"O54916"," 795"
"E9Q634","1107"
"Q6NZN0","1012"
"Q8CGE9","1381"
"O08665"," 772"
"Q8CG14"," 688"
"Q8BVX7"," 457"
"E9Q6H8","1269"
"E9Q6J5","3032"
"O08811"," 760"
"Q80TV8","1535"
