wt_1_t24	wt_2_t24	wt_3_t24	wt_4_t24	wt_1_t36	wt_2_t36	wt_3_t36	wt_4_t36	ko_1_t24	ko_2_t24	ko_3_t24	ko_4_t24	ko_1_t36	ko_2_t36	ko_3_t36	ko_4_t36	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
64773	55134	76891	74060	73905	64915	68271	72666	77313	75235	71085	62720	64609	70634	65442	53532	10	10	10	15.9	15.9	15.9	91.841	0	68.323	12	A2A6Q5;A2A6Q5-2;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	Cell division cycle protein 27 homolog	Cdc27	sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1;sp|A2A6Q5-2|CDC27_MOUSE Isoform 2 of Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27;sp|A2A6Q5-3|CDC27_MOUSE Isoform 3 of Cell
85759	72219	89465	69227	98624	82207	84711	64289	80349	79451	66300	65825	68272	81407	62328	58849	7	7	7	15.5	15.5	15.5	53.212	0	33.966	10	A2A6T1	A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l	sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1
9908.900390625	10151	11651	11723	13097	11224	11318	11366	15586	15904	14938	13765	14160	14916	15463	11182	6	6	6	4.7	4.7	4.7	162.84	0	11.407	6	A2A791-2;A2A791	A2A791-2;A2A791	Zinc finger MYM-type protein 4	Zmym4	sp|A2A791-2|ZMYM4_MOUSE Isoform 2 of Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4;sp|A2A791|ZMYM4_MOUSE Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1
21933	22335	27355	25851	27465	23580	24520	24891	33225	31133	28733	24332	29886	32480	23328	22098	16	5	5	10	3.6	3.6	222.51	0	59.8	5	A2A8L1	A2A8L1	Chromodomain-helicase-DNA-binding protein 5	Chd5	sp|A2A8L1|CHD5_MOUSE Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus OX=10090 GN=Chd5 PE=1 SV=1
8959.2998046875	7128.7998046875	10099	9054.5	9735.2998046875	7949.2998046875	8609.599609375	7889.39990234375	10772	12529	11578	11055	10944	12374	11557	7633.7998046875	5	4	4	5	4.4	4.4	211.49	0	9.4681	4	A2A8L5	A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf	sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1
6574.10009765625	5407.89990234375	6835.39990234375	5346.10009765625	8381.400390625	6738.2001953125	7654.7001953125	5558.39990234375	7571.60009765625	8381.2998046875	7678.89990234375	7026.7998046875	7525.5	7818.2998046875	6555	5660.89990234375	1	1	1	3.3	3.3	3.3	43.548	0.0025825	2.7986	2	A2A8U2-2;A2A8U2-3;A2A8U2	A2A8U2-2;A2A8U2-3;A2A8U2	Transmembrane protein 201	Tmem201	sp|A2A8U2-2|TM201_MOUSE Isoform 2 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2-3|TM201_MOUSE Isoform 3 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus mus
219510	177520	232550	191400	253040	212310	212050	182060	264200	241790	223420	185440	226080	240860	214300	162780	16	16	14	21.1	21.1	18.8	83.108	0	66.027	21	A2A8Z1;A2A8Z1-2	A2A8Z1;A2A8Z1-2	Oxysterol-binding protein-related protein 9	Osbpl9	sp|A2A8Z1|OSBL9_MOUSE Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1;sp|A2A8Z1-2|OSBL9_MOUSE Isoform 2 of Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9
10826	9724.7001953125	14669	12867	11615	9589.5	12276	11630	15336	14334	13690	13592	12906	12494	13814	11798	4	4	4	1.3	1.3	1.3	377.52	0.00016134	5.9479	5	A2A9C3-2;A2A9C3	A2A9C3-2;A2A9C3	Protein SZT2	Szt2	sp|A2A9C3-2|SZT2_MOUSE Isoform 2 of KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2;sp|A2A9C3|SZT2_MOUSE KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1
965.77001953125	1177.09997558594	1381.90002441406	918.280029296875	1390.40002441406	1115.19995117188	1191.09997558594	951.450012207031	1646	1642.69995117188	1718	929.340026855469	1480.19995117188	1642.19995117188	1572.30004882813	1305.59997558594	1	1	1	0.2	0.2	0.2	510.34	0.0082816	2.0097	1	A2AAE1-4;A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3	A2AAE1-4;A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3	Uncharacterized protein KIAA1109	Kiaa1109	sp|A2AAE1-4|K1109_MOUSE Isoform 4 of Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109;sp|A2AAE1-6|K1109_MOUSE Isoform 6 of Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109;sp|A2AAE1|K1109_MOUSE Transmembrane protein KI
272160	249120	212930	182590	334570	293560	203730	179090	258810	291650	260520	249800	234900	280270	258310	204070	25	23	23	30.8	28.9	28.9	101.52	0	89.591	38	A2AAY5	A2AAY5	SH3 and PX domain-containing protein 2B	Sh3pxd2b	sp|A2AAY5|SPD2B_MOUSE SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1
10569	10168	11808	11406	12058	10322	12389	10360	14085	14463	12053	11602	11560	12085	13666	8623.599609375	3	3	3	2.5	2.5	2.5	160.96	0.00016932	7.7116	4	A2ABV5	A2ABV5	Mediator of RNA polymerase II transcription subunit 14	Med14	sp|A2ABV5|MED14_MOUSE Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus OX=10090 GN=Med14 PE=1 SV=1
3725.10009765625	2926.89990234375	4565.7001953125	4951.60009765625	4289.2998046875	3815.19995117188	4958.7998046875	3420.10009765625	4580.7001953125	5142.5	3365.39990234375	4175.89990234375	3716	4996.2001953125	3495	2756.5	2	2	2	9.3	9.3	9.3	31.992	0.00016586	6.8968	2	A2ADA5;A2ADA5-3;A2ADA5-2	A2ADA5;A2ADA5-3;A2ADA5-2	tRNA pseudouridine synthase-like 1	Pusl1	sp|A2ADA5|PUSL1_MOUSE tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1 PE=1 SV=1;sp|A2ADA5-3|PUSL1_MOUSE Isoform 3 of tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1;sp|A2ADA5-2|PUSL1_MOUSE Isoform 2 of tRNA pseudou
65436	55230	65667	68005	75787	62362	64200	62917	101820	94325	91264	80754	95314	93799	92900	63004	10	10	10	37.1	37.1	37.1	44.59	0	87.933	17	A2ADY9;Q9DAF3	A2ADY9	Protein DDI1 homolog 2	Ddi2	sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1
69748	58534	82673	75882	87982	77739	83389	71620	109330	100140	95934	83250	97285	95284	97266	66759	13	13	12	6.8	6.8	6.3	237.77	0	25.928	14	A2AF47	A2AF47	Dedicator of cytokinesis protein 11	Dock11	sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.6	2.6	2.6	40.701	0.0066797	2.1597	1	Q8R3R5;A2AF53	Q8R3R5;A2AF53	Transmembrane protein 185B;Transmembrane protein 185A	Tmem185b;Tmem185a	sp|Q8R3R5|T185B_MOUSE Transmembrane protein 185B OS=Mus musculus OX=10090 GN=Tmem185b PE=2 SV=1;sp|A2AF53|T185A_MOUSE Transmembrane protein 185A OS=Mus musculus OX=10090 GN=Tmem185a PE=1 SV=1
29854	51189	33224	35170	35747	29364	31522	28150	35335	47830	40143	37870	29932	44644	53504	35727	3	3	3	3.6	3.6	3.6	86.049	0.002173	3.0226	4	A2AG50;A2AG50-3;A2AG50-2	A2AG50;A2AG50-3;A2AG50-2	MAP7 domain-containing protein 2	Map7d2	sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1;sp|A2AG50-3|MA7D2_MOUSE Isoform 3 of MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2;sp|A2AG50-2|MA7D2_MOUSE Isoform 2 of MAP7 domain-co
16757	16995	17244	12149	18668	18187	12341	11938	16583	15140	11897	13667	14432	14527	10549	10589	4	4	4	7.1	7.1	7.1	80.608	0	8.9842	4	A2AG58-2;A2AG58	A2AG58-2;A2AG58	Uncharacterized protein CXorf23 homolog		sp|A2AG58-2|BCLA3_MOUSE Isoform 2 of BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3;sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1
15906	15145	18405	19783	21791	17910	19534	20210	26203	24626	23975	22298	22454	24482	24260	15808	9	9	9	5.1	5.1	5.1	242.3	0	18.693	9	A2AGH6-2;A2AGH6;A2AGH6-3;Q8BQM9-4;Q8BQM9-3;Q8BQM9;Q8BQM9-2	A2AGH6-2;A2AGH6	Mediator of RNA polymerase II transcription subunit 12	Med12	sp|A2AGH6-2|MED12_MOUSE Isoform 2 of Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12;sp|A2AGH6|MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1
741110	643590	884500	796950	919500	795420	850980	747400	885900	908870	733930	773180	773350	902730	727920	632850	55	55	54	32.3	32.3	31.6	218.7	0	323.31	82	A2AGT5-2;A2AGT5-3;A2AGT5	A2AGT5-2;A2AGT5-3;A2AGT5	Cytoskeleton-associated protein 5	Ckap5	sp|A2AGT5-2|CKAP5_MOUSE Isoform 2 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5-3|CKAP5_MOUSE Isoform 3 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated
7132.10009765625	7238.7998046875	10622	12752	12407	9712.900390625	9552.7998046875	12089	13410	13025	16060	11885	12211	12521	16573	9026.2001953125	1	1	1	1.5	1.5	1.5	83.714	0.001032	3.3873	1	A2AH22-4;A2AH22-3;A2AH22-5;A2AH22-7;A2AH22-2;A2AH22-6;A2AH22	A2AH22-4;A2AH22-3;A2AH22-5;A2AH22-7;A2AH22-2;A2AH22-6;A2AH22	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1	sp|A2AH22-4|AMRA1_MOUSE Isoform 4 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1;sp|A2AH22-3|AMRA1_MOUSE Isoform 3 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=A
55414	47740	70904	61550	64568	56179	62174	55259	71050	74521	60326	60496	60026	72475	59250	51100	10	10	10	9.5	9.5	9.5	175.89	0	50.738	14	A2AHC3;A2AHC3-2	A2AHC3;A2AHC3-2	Calmodulin-regulated spectrin-associated protein 1	Camsap1	sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1;sp|A2AHC3-2|CAMP1_MOUSE Isoform 2 of Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.8	2.8	2.8	51.868	0.0073591	2.1215	1	A2AI05-3;A2AI05-2;A2AI05	A2AI05-3;A2AI05-2;A2AI05	NADPH-dependent diflavin oxidoreductase 1	Ndor1	sp|A2AI05-3|NDOR1_MOUSE Isoform 3 of NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1;sp|A2AI05-2|NDOR1_MOUSE Isoform 2 of NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1;sp|A2AI05|NDOR1_MOUSE NADPH-de
14008	13155	15264	13742	16744	14752	14245	13410	18282	16018	17904	14739	19817	17321	21238	12289	5	5	5	6.9	6.9	6.9	80.088	0	9.8256	5	A2AI08	A2AI08	Taperin	Tprn	sp|A2AI08|TPRN_MOUSE Taperin OS=Mus musculus OX=10090 GN=Tprn PE=1 SV=1
28897	25296	32047	25438	34638	34166	29666	25002	35827	41952	28968	34642	29918	39475	31921	26649	4	4	4	9.4	9.4	9.4	54.492	0.00017024	7.9258	4	A2AIG8-2;A2AIG8	A2AIG8-2;A2AIG8	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs	sp|A2AIG8-2|1A1L1_MOUSE Isoform 2 of 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs;sp|A2AIG8|1A1L1_MOUSE 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs PE=2 SV=1
8552.5	6791.2998046875	8895	11213	10241	10542	11204	10486	13687	15134	12988	11976	12084	14927	14097	9822.2001953125	7	7	7	5.5	5.5	5.5	201.44	0	34.117	7	A2AIV2;A2AIV2-2	A2AIV2;A2AIV2-2	Protein virilizer homolog	Kiaa1429	sp|A2AIV2|VIR_MOUSE Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1;sp|A2AIV2-2|VIR_MOUSE Isoform 2 of Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma
7340.7001953125	5068.60009765625	9395.2001953125	5686.39990234375	7260.7001953125	6897.5	8384.400390625	6701.7998046875	9180.2998046875	5486.7998046875	9450	6837.7001953125	6029.60009765625	5022.39990234375	10242	5596	2	2	2	4.2	4.2	4.2	40.155	0.0054568	2.2647	2	A2AIW0-3;A2AIW0-4;A2AIW0-2;A2AIW0	A2AIW0-3;A2AIW0-4;A2AIW0-2;A2AIW0	Serologically defined colon cancer antigen 3 homolog	Sdccag3	sp|A2AIW0-3|ENTR1_MOUSE Isoform 3 of Endosome-associated-trafficking regulator 1 OS=Mus musculus OX=10090 GN=Entr1;sp|A2AIW0-4|ENTR1_MOUSE Isoform 4 of Endosome-associated-trafficking regulator 1 OS=Mus musculus OX=10090 GN=Entr1;sp|A2AIW0-2|ENTR1_MOUSE Is
118380	100280	130090	115840	138500	123840	125630	107430	146280	137090	122480	113300	128580	128240	114500	91257	11	11	11	18.7	18.7	18.7	75.149	0	81.117	15	A2AJ15	A2AJ15	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1	sp|A2AJ15|MA1B1_MOUSE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus OX=10090 GN=Man1b1 PE=1 SV=1
3447.80004882813	2895.69995117188	4381	4219.5	4286.10009765625	3185.30004882813	3912.69995117188	3195.30004882813	5186.7001953125	3799.5	3776.89990234375	3965.60009765625	4315	3409.69995117188	3668.80004882813	2512.80004882813	1	1	1	1.8	1.8	1.8	91.941	0	19.125	1	A2AJ88-3;A2AJ88-2;A2AJ88	A2AJ88-3;A2AJ88-2;A2AJ88	Patatin-like phospholipase domain-containing protein 7	Pnpla7	sp|A2AJ88-3|PLPL7_MOUSE Isoform 3 of Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7;sp|A2AJ88-2|PLPL7_MOUSE Isoform 2 of Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7;sp
389750	329740	360680	303090	443970	385110	344380	295010	401950	375180	285660	293660	332410	365680	274880	242030	31	31	31	40.2	40.2	40.2	93.275	0	187.22	51	A2AJI0;A2AJI0-2	A2AJI0;A2AJI0-2	MAP7 domain-containing protein 1	Map7d1	sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1;sp|A2AJI0-2|MA7D1_MOUSE Isoform 2 of MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1
21891	18103	25370	27224	27437	24065	28106	27010	43674	40678	42665	32634	39521	39225	44448	30443	3	3	3	6.5	6.5	6.5	92.114	0	21.432	5	A2AJT4	A2AJT4	Arginine/serine-rich protein PNISR	Pnisr	sp|A2AJT4|PNISR_MOUSE Arginine/serine-rich protein PNISR OS=Mus musculus OX=10090 GN=Pnisr PE=1 SV=1
12986	10755	17510	17304	17409	12918	16210	15828	19541	19104	18187	16140	17887	17807	19065	13069	4	4	4	2.6	2.6	2.6	198.95	0	10.458	4	A2AKG8;A2AKG8-2;A2AKG8-3	A2AKG8;A2AKG8-2	Focadhesin	Focad	sp|A2AKG8|FOCAD_MOUSE Focadhesin OS=Mus musculus OX=10090 GN=Focad PE=1 SV=1;sp|A2AKG8-2|FOCAD_MOUSE Isoform 2 of Focadhesin OS=Mus musculus OX=10090 GN=Focad
6217.89990234375	5040.10009765625	7120	6388.2001953125	7655.2998046875	6754.2001953125	6516.7001953125	8252.7998046875	8933.900390625	8991.7998046875	9201.2998046875	5549.7001953125	6993.5	7678.5	8371.2001953125	6902.39990234375	1	1	1	1	1	1	253.32	0.00030689	4.42	1	A2AKX3-2;A2AKX3	A2AKX3-2;A2AKX3	Probable helicase senataxin	Setx	sp|A2AKX3-2|SETX_MOUSE Isoform 2 of Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx;sp|A2AKX3|SETX_MOUSE Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1
110210	97153	107990	156000	133450	115700	123870	160690	172890	90595	201870	74041	156190	82650	201470	59371	20	20	19	16.1	16.1	15.6	164.7	0	49.777	22	A2ALU4;A2ALU4-2	A2ALU4	Protein Shroom2	Shroom2	sp|A2ALU4|SHRM2_MOUSE Protein Shroom2 OS=Mus musculus OX=10090 GN=Shroom2 PE=1 SV=1
66983	60033	73777	68879	79498	69366	71855	67725	79307	86724	54933	70979	68584	87966	54083	61274	6	6	6	20.2	20.2	20.2	41.937	0	38.656	8	A2ALW5;A2ALW5-2	A2ALW5;A2ALW5-2	DnaJ homolog subfamily C member 25	Dnajc25	sp|A2ALW5|DJC25_MOUSE DnaJ homolog subfamily C member 25 OS=Mus musculus OX=10090 GN=Dnajc25 PE=1 SV=1;sp|A2ALW5-2|DJC25_MOUSE Isoform 2 of DnaJ homolog subfamily C member 25 OS=Mus musculus OX=10090 GN=Dnajc25
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1.6	1.6	1.6	63.375	0.0013208	3.2975	1	A2AM29	A2AM29	Protein AF-9	Mllt3	sp|A2AM29|AF9_MOUSE Protein AF-9 OS=Mus musculus OX=10090 GN=Mllt3 PE=1 SV=1
10244	8850	15134	12939	13991	9558.099609375	12716	10759	17191	15230	14970	13849	14310	15470	12386	10015	1	1	1	24.3	24.3	24.3	7.7849	0	14.025	2	A2AMZ4	A2AMZ4	Uncharacterized protein C17orf89 homolog		sp|A2AMZ4|NDUF8_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Mus musculus OX=10090 GN=Ndufaf8 PE=1 SV=1
1144800	958390	1256000	1109800	1376200	1139000	1198700	1070600	1383100	1267700	1100300	1067500	1190600	1197200	1048700	830190	101	101	101	24.6	24.6	24.6	570.29	0	323.31	156	A2AN08-3;A2AN08;A2AN08-5;A2AN08-2;A2AN08-4	A2AN08-3;A2AN08;A2AN08-5;A2AN08-2	E3 ubiquitin-protein ligase UBR4	Ubr4	sp|A2AN08-3|UBR4_MOUSE Isoform 3 of E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4;sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1;sp|A2AN08-5|UBR4_MOUSE Isoform 5 of E3 ubiquitin-protein
2631.30004882813	2140.30004882813	2685.89990234375	2164.80004882813	3430.89990234375	2884.80004882813	2222	2498.89990234375	2419.39990234375	2425.10009765625	2335.69995117188	1478.40002441406	2394.5	2313.39990234375	2141.30004882813	1667.5	4	4	4	6.6	6.6	6.6	85.893	0	8.8106	4	A2APB8	A2APB8	Targeting protein for Xklp2	Tpx2	sp|A2APB8|TPX2_MOUSE Targeting protein for Xklp2 OS=Mus musculus OX=10090 GN=Tpx2 PE=1 SV=1
12452	9850.099609375	9331.599609375	6728.2001953125	13462	12916	8573.2998046875	7492.7998046875	10663	10468	11305	8219.2001953125	9567.7001953125	10312	10135	8361.900390625	10	5	5	10.3	5.5	5.5	117.71	0.00016439	6.5987	5	A2APV2-2;A2APV2;A2APV2-3	A2APV2-2;A2APV2;A2APV2-3	Formin-like protein 2	Fmnl2	sp|A2APV2-2|FMNL2_MOUSE Isoform 2 of Formin-like protein 2 OS=Mus musculus OX=10090 GN=Fmnl2;sp|A2APV2|FMNL2_MOUSE Formin-like protein 2 OS=Mus musculus OX=10090 GN=Fmnl2 PE=1 SV=2;sp|A2APV2-3|FMNL2_MOUSE Isoform 3 of Formin-like protein 2 OS=Mus musculus
27513	22879	37637	31977	32987	27386	36124	32683	41076	38155	36617	35201	34630	34615	31666	29085	4	4	4	12.2	12.2	12.2	38.404	0	14.038	5	A2APY7;A2APY7-2	A2APY7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5	Ndufaf5	sp|A2APY7|NDUF5_MOUSE Arginine-hydroxylase NDUFAF5, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf5 PE=1 SV=1
