"Uniprot_ID","Protein_names","Gene_names","pVal","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"A0A0R4IZZ6","Formin-binding protein 4","Fnbp4",0.0221652870693087,12,9,24,82009.3318204722,76090.4173224528,74757.9324695005,80999.6537527309,80116.4133505926,77728.7302984626,74488.5474417495,73629.9163065693,85068.1931027955,83906.2487489102,85588.411173579,84027.4935423268,77687.5093312641,74317.0830552635,73721.279542029,74858.9674038777,77877.4841731526,79867.6273374109,78289.5318096211,77546.1516865916,82452.1395530498,76124.087108501,76873.393655593,78417.1407294994
"Q8BNY0","Follistatin","Fst",0.0390596988601314,21,6,24,36333.3797119215,39641.8535969379,38185.9098295523,36462.3063540118,42226.6976048377,40233.2101331714,42407.7564925907,44275.6990478444,37119.1257592449,34821.4260847047,39185.140691763,39160.1575295998,38898.2013184165,39058.0002800117,41444.8848209026,40819.3275440715,37180.5955719757,44197.2141849557,40718.9418575068,42227.3456475771,41912.8698756829,42991.0945289065,45135.1587076652,42535.1034193768
"A0A0R4J034","Pyridoxal-dependent decarboxylase domain-containing protein 1","Pdxdc1",0.000946290597502686,9,15,24,1169184.31821674,1116693.58347242,1159747.17999026,1133585.95486618,1177351.62693641,1129632.25562634,1140716.57491122,1104945.22114434,1161113.57934538,1153679.85326584,1174693.41766654,1156136.27380015,1159001.05282384,1143744.87298261,1125223.46320893,1115038.1641152,1101467.31528109,1115768.92288857,1136114.79012746,1132631.50558848,1157130.88196758,1144235.17899701,1124438.69830094,1100394.5932627
"A0A0R4J050","Aminoacylase-1","Acy1",0.0476797206792196,15,9,24,426923.526761159,421533.225198346,432794.607798844,429169.269573677,445374.504913575,428853.013586952,434821.026904853,431020.253762511,440931.20597878,442236.634345327,459192.047945848,456878.318102626,450305.987741333,441714.422064921,424564.702833772,429732.547500361,445351.771906821,441392.365185983,450338.442773872,445936.409565019,456445.266284639,448492.999244223,449889.752983356,440927.149826842
"A0A0R4J090","Antigen-presenting glycoprotein CD1d1;Antigen-presenting glycoprotein CD1d2","Cd1d1;Cd1d2",0.0316685392677379,21,12,24,73663.9943176182,84238.2696326919,76048.7504504826,76343.5261501462,80779.8211931288,80893.0305972222,86013.1093312282,85598.0400839588,83929.1623083593,86134.4913459781,83858.8073635854,80275.56428885,84255.2629626469,86494.1707635245,88978.6374853398,90937.402632145,88985.3285234451,94933.284144447,81452.7315351507,98098.4395197264,91233.4113096662,104195.129043103,105004.651357006,101516.523823994
"A0A0R4J206","Molybdopterin synthase catalytic subunit","Mocs2",0.0127513332434077,12,18,24,64504.0865293286,61763.1230131482,66738.5216486196,67088.1790168386,64595.8413575334,67506.8651335909,61760.8349552847,63808.908719204,67573.3896794993,63127.2536258332,71689.4231509883,67435.6443479625,71006.8578631961,64797.0104890735,65580.5257402035,60778.5723780031,60639.2367591858,62997.266345282,69477.2804258253,69514.4853097867,65904.3763361954,65851.4234878168,66307.5379247558,66947.7138281448
"A0A0R4J250","Etoposide-induced protein 2.4","Ei24",0.00511297649713709,24,12,24,26952.0358459454,23800.71095638,21198.4521928321,18148.4122209891,20849.352009606,18976.5972284475,23761.4624109194,29738.0376989731,27597.3683570785,27455.6037644599,21727.2204169377,17309.9732407019,26024.307931737,28162.919630975,26564.6372608956,33409.9456262416,25367.2111481305,27318.7094707206,24610.9567225645,27332.4965612139,27192.717735907,28782.1087823058,27309.8506827638,27000.9119813319
"A0A0R4J259","Heterogeneous nuclear ribonucleoprotein Q","Syncrip",0.00209051900478085,6,6,24,20836.5469063685,20962.6524901484,20592.3848270251,18708.9008228092,20095.7142898242,17998.4357207423,20150.9601702507,21248.6520981038,19475.0071490262,21072.2171008602,21769.7286897547,18845.4633434345,18348.346267023,19186.8899831678,20907.9007270709,19136.8968577572,20429.0684791107,21824.9702258205,18127.7516827994,18801.0623982324,20171.0303860491,20759.4300166876,19273.0743755433,20306.1849761695
"A0A0R4J2A1","Signal peptidase complex subunit 1","Spcs1",0.0170245099485623,21,15,24,93959.2339241289,104724.734692434,95633.2254444843,77910.8611496216,87223.883173616,82204.9739830873,99097.2010400951,97934.43479683,91747.9335605345,93321.8299948005,89497.7227728497,86988.7624849303,97001.4384282958,96786.9333750838,99669.8700344118,100536.279080755,90146.6973891606,92681.563655869,84322.8714904489,92782.6033126539,88557.6848718393,100415.077014852,99585.3732551042,89542.4874054097
"A0A0R4J2B6","Retinoblastoma-binding protein 5","Rbbp5",0.00924961567214477,12,9,24,145135.3160812,137383.930055187,151775.264891246,148271.672395491,143657.76639447,141383.416558432,140473.163045818,137126.846163249,142290.486258232,153113.884007651,143959.0448958,142339.93688338,138716.688049879,142871.736128522,134182.32671755,135879.148139528,136519.635664612,142184.904205017,126982.980767518,148329.654013143,137353.982683022,136891.565612195,133844.859186426,142161.933089402
"A0A0U1RPD7","Casein kinase I isoform gamma-1","Csnk1g1",0.0175736876888385,9,9,24,37140.315726925,39221.0166047708,38745.9150133023,33005.1335774192,39537.6249436424,35459.3981162381,37339.9611771102,39379.6325176379,39390.2312620227,38659.1052866371,37698.9924966034,36006.0233408108,37673.8213955775,37097.0079969391,38135.7796679399,37532.5824048688,38524.5583611761,37545.0909618633,40996.2280847149,37426.6059957222,37014.1608831041,35683.9512087792,37668.2469002161,36986.145620628
"A0A0U1RQ91","","Ino80e",0.0027329521220291,3,15,24,18227.4022849195,17565.5717835586,15309.0408987095,14652.3176717396,18271.191984405,15766.4670000348,15664.4582473426,16376.7740924319,19018.5953984016,17965.4510963894,19179.1429569432,18931.7453647419,16684.8040863425,15572.0780757854,17567.237943138,16730.55906624,18539.3209066386,17316.2525035214,17334.5988415904,16424.3442098998,15971.6864633971,15549.3524123742,16319.9407783567,15876.9536294227
"Q3UG15","Disintegrin and metalloproteinase domain-containing protein 9","Adam9",0.0439611526874622,21,18,24,344047.814928612,355414.231547269,353177.538421311,334504.841763045,321295.122385928,313404.548929467,348868.025952637,354797.437240746,345846.563368628,341888.449685316,334018.506601748,333766.085466672,348692.921763013,363686.813031788,354381.93648279,362378.978656923,329253.793134231,341216.429639854,325209.066764455,343079.831984975,328525.26485622,346417.287914166,346033.743720302,345838.500227532
"A0A140LI54","Neuropathy target esterase","Pnpla6",0.00249564972342233,21,15,24,71034.0811572867,71870.514312813,71518.5630784706,65270.9776008731,68172.8280603268,63285.0377641305,72577.4757167433,71978.9187243561,78951.0736281363,67992.792473616,68013.1328435578,67655.6242149222,75216.7705704975,77329.8782497783,81802.7958432146,80771.5989857522,69552.1644741772,73663.6356412765,67344.4503438424,72186.2466373732,69170.0649309269,80494.3054569831,75487.691153559,79433.2621720909
"Q3TX38","Voltage-dependent anion-selective channel protein 3","Vdac3",0.0421585530782038,24,12,24,687593.611560755,754527.156251643,716142.110185204,643501.808604608,629318.243893054,629872.996221956,713097.807183064,737523.695019634,734146.737527412,717272.468188591,683498.96214404,680995.361056229,738778.784659402,726883.077146176,761871.432889267,781866.167718695,735879.148748639,728396.138999996,712430.539192749,768726.543420104,730840.563777652,791848.13712516,765269.450077703,756566.759656606
"A0A1B0GR11","Transaldolase","Taldo1",0.0224624499677591,9,15,24,1626906.53400155,1540837.65025751,1573960.79357192,1591229.90137035,1566821.8106188,1553961.9412776,1509117.68193963,1479067.78490724,1525981.37241537,1539637.41277825,1566121.11422967,1534993.34866039,1539155.14455756,1487550.97068903,1460923.00860153,1444640.44581684,1559281.02217026,1485666.13678388,1529508.48160503,1458941.98585018,1502819.04468097,1451880.30365565,1496387.1710727,1465526.81401674
"A0A1B0GT05","BET1-like protein","Bet1l",0.00282111186790101,24,9,24,66649.5327231208,67572.4035421082,64389.9937811705,62904.869667125,64351.9870313684,66169.1404448093,70280.0464947188,75296.55671778,67379.0961529869,72418.2492905994,65187.9282234548,65823.9782577922,68744.2233531711,70574.0644392446,67909.663570329,72516.5730771665,66786.3804370507,74677.0450280758,64878.5440938063,77240.2461872168,67417.4151493952,83158.0118715214,74774.8311470276,78332.2544223994
"A0A1C7CYV0","Plastin-3","Pls3",0.0322663436536382,9,15,24,6930866.21336796,7130907.51655452,7134434.92152345,7254008.97304253,7128206.54418208,7261233.97621083,7015095.25862691,7248074.64359511,7105747.84431447,7029244.60601824,7292098.1249914,6993037.22976554,6995238.38251929,6768262.77973162,6739054.02114058,6610497.73424638,7067083.41979987,6729355.02078118,7284291.52360341,6893412.37829636,7229968.01083725,6774868.15269608,7030317.88117041,6633344.66088339
"A0A1D5RLL3","Protein EFR3 homolog A","Efr3a",0.0431899996954131,24,9,24,222347.757440962,230945.148762542,233827.122336566,231003.581196356,218161.640838295,223252.200174364,230377.627270895,246867.651050059,253141.886346829,234233.315463701,226737.331440846,231839.091194792,242789.92112498,243337.410837287,231969.673386179,250292.476756468,238987.601046695,242017.431915477,226592.252001695,239021.787927561,229380.27419145,236337.304741003,237386.325369287,248810.85097831
"A1L0U3","Histone H3;Histone H3.2","Hist1h3e;Hist2h3b;Hist1h3b",0.0192212209096671,18,9,24,655791.0731266,908320.962206969,775627.973596692,706293.306627071,824187.343837842,894413.645812719,791556.672476985,756442.609019534,732959.501263872,665743.476892103,784729.635838271,811751.566434844,793672.031994342,816787.216883327,860942.461447215,810194.025258678,712947.606529261,807373.431597669,754532.219488989,772338.128700512,672105.224472008,1002606.76000371,680248.33335688,792063.992398005
"A2A6Q5","Cell division cycle protein 27 homolog","Cdc27",0.000951753854989182,24,9,24,63590.1890580887,67461.8553093189,59805.4188132431,60839.6206582153,62830.4187135637,63681.6433399759,65355.3596476561,66381.086921104,67156.9536019644,61381.6414372082,61502.48025685,62161.523661451,68448.6724519982,62589.655566909,66233.9130711552,65126.9045721188,63699.1488332005,62619.352528018,60277.2726300278,64813.3963578868,61936.6660724165,66858.0582879337,64974.1693350612,64501.3658614582
"A2A9I0","Golgi SNAP receptor complex member 2","Gosr2",0.0027329521220291,24,9,24,135662.019847536,156357.133467152,151659.99237542,143556.080460804,151015.026119331,149646.123545867,153686.744915745,160644.05856473,146217.481353856,146722.570852262,140678.85081625,147470.875016705,147257.018521704,148168.639700514,154582.732498932,158024.879053748,155858.30573955,154317.720808821,134194.455277856,159099.048205208,151806.36322573,173768.549515622,166087.463032633,159369.824362127
"A2A9Q2","Nardilysin","Nrd1",0.0395102153742563,9,12,24,1055934.5293474,1050589.37211756,1052042.98148037,1039989.78946731,1049059.25581895,1034902.80059519,1016794.74326865,1018057.49295238,1018393.88008103,1014899.49692189,1059498.92703924,1046911.08378606,1046626.19910297,1031175.30777538,1007908.3411439,1014855.04800771,1000073.02371644,1045149.84105513,1000270.7120016,1023429.75875104,984432.823880062,1013543.81922945,989448.884639809,1007889.65822877
"A2A9W7","ADP-ribosylation factor-binding protein GGA3","Gga3",0.0114165657182895,6,15,24,23225.3725122563,26347.1954792322,24080.6363293186,28105.2194297033,22276.3376672365,25538.1915678325,23634.5984557875,24208.2712220705,27124.4626927458,27744.5035291622,27867.8605374848,26462.590072276,26508.5208205299,25050.0198013251,23115.4076839127,24106.1305849904,25814.239813911,25272.7665938755,25270.0908902008,23952.7130953719,25666.5296782502,24633.9393704595,22895.4209065136,24450.7455910191
"A2ACC6","Ral GTPase-activating protein subunit beta","Ralgapb",0.0492723213779756,3,9,24,100476.773684944,97307.9406398101,96902.2287620928,99226.6399543973,96251.5887857994,97558.3599171026,105891.473861721,101446.780809804,98683.9209681618,91716.7018663348,99810.3417953972,89971.6468412511,102574.484913903,97295.3552867439,97926.5689265456,98632.4535649895,99641.9161192553,97403.0762192286,93036.3574732328,94146.5165770556,94965.1893994869,96762.6886032496,98210.398909972,95869.5707811101
"A2AEM2","Chloride channel CLIC-like protein 1","Clcc1",0.00519765857683682,24,9,24,26295.8945839729,30323.0215179331,26955.9493868298,24060.6524355144,26728.8271322278,25815.7381732824,30292.4828460946,30344.9025123219,27440.154185579,26693.1672384318,24332.1727136629,26951.8841886962,28581.3366965936,30656.1239765971,29974.9328009906,32352.3264142444,24663.0235754832,26275.1012633157,24203.418692419,27797.4606976607,24585.7227466327,28075.3020006705,26826.6131768656,27878.3076382414
"A2AII0","Growth/differentiation factor 6","Gdf6",0.00606770969015427,21,15,24,10605.1403108629,17313.6295646989,11619.2442752749,10913.2447703366,11854.7191388985,13361.7370144881,15794.5243146338,16937.6713355403,15518.1142670128,14095.1000077196,14271.1070320689,13421.0622890535,14840.4484133836,16503.4136494274,16878.5639175189,16383.2945780716,16241.9219885444,15978.1700889772,13766.8079095388,15805.310163454,14699.6395190377,17454.1915800524,17197.2089749932,16556.1059743923
"A2AL85","Aspartyl/asparaginyl beta-hydroxylase","Asph;ASPH",0.0177483242007205,21,18,24,927895.652169785,992967.696499578,962095.639970049,836530.256308628,844034.741596743,831952.300146974,979036.396796299,968151.345511716,938757.733532629,919784.186777378,892452.643240825,884367.394342196,937493.214619795,965122.775484295,977110.604249377,1023774.5965523,912142.141867123,984604.660157466,883169.927373359,992059.615099862,906333.263965647,1041242.01197993,998764.208717635,986794.48412221
"A2ALW5","DnaJ homolog subfamily C member 25","Dnajc25",0.00711757580594961,24,12,24,70554.5878579153,77541.3302627145,69522.9295792743,62784.2581918845,63018.153227169,61623.7596589948,72815.9600291691,76519.863154824,74279.3039464002,70582.8872137858,69318.5575914018,66125.9909123237,73268.7989494666,69815.3108573798,76378.942361019,80426.7250662374,75598.0209130352,74761.7308885244,72270.2958090276,76173.9747183049,73090.7238438584,81780.6352224899,80547.9636357906,78883.7744386112
"I7HJQ8","CD99 antigen-like protein 2","Cd99l2",0.038253999730223,18,9,24,67080.3054988616,75351.5959623614,62764.5597471241,72028.7850348884,70977.4120108889,76737.80917407,68654.2599097195,69149.2459534855,69272.9201905531,68502.5594487306,74633.8163432951,70505.6282757522,79636.6250731164,77767.0664962195,77445.8547688738,76965.2930652556,65784.3853827717,74253.9586136516,70577.8606023002,71230.1708262686,73383.2527054996,72132.5489584362,74135.8522492141,75930.9600997766
"F8VPR2","Formin-like protein 2","Fmnl2",0.0320282846802657,24,15,24,28328.2951373745,26859.691224586,29939.9340649817,23437.6558866009,23994.9932145809,25890.2246037024,28604.5527396701,29174.3502411688,28495.6720752317,27466.3338309655,30010.0473008256,28939.0792525981,28380.2802103956,29405.6398831012,30583.3365661875,31309.855000841,25368.7103929902,28141.3153696008,24842.5594885022,25360.7951477722,24924.9851685294,27212.9426501687,25164.2790418821,29712.3371581573
"A2AR02","Peptidyl-prolyl cis-trans isomerase G","Ppig",0.00862963155933052,6,15,24,148640.019719979,158043.877341374,155786.689650155,161714.032807641,153889.168934301,152409.055078039,137054.780180144,148670.78464568,149894.231133926,144142.079576962,148166.644185117,134373.199472497,144546.895203151,139181.286867709,132004.926871316,137485.420413322,144852.128286837,143074.740750482,142605.120971155,142674.313806948,137790.573122141,133677.97816889,132425.47313874,138174.604009242
"A2ARA0","Tissue factor pathway inhibitor","Tfpi",0.000305920643905057,21,12,24,64156.5844125001,57387.4439746547,54919.5760977575,54386.8957344215,56319.2057694771,57716.2122334611,61186.0223037519,60878.1618401186,56121.7370511661,57481.640508434,53021.4498948195,57472.9308511848,58671.4517797262,53513.3767620443,64463.307131057,58597.3102448364,57206.9992736954,53992.4478807181,54720.1354043887,57108.1258676932,57973.1136021585,55683.9779684392,59263.6469912456,61400.493552857
"A2AVJ7","Ribosome-binding protein 1","Rrbp1",0.0033275329645631,6,6,24,3801501.37170602,3942048.67935923,3806031.90635502,3561072.2945618,3620584.83898145,3463506.1458575,3730952.96071988,3839698.42850237,3917410.70635534,3797900.952753,3580531.90628412,3494330.02831718,3683609.50328647,3563660.25307277,3835798.24714694,3745172.11582148,3776127.7929818,3744250.81341102,3617409.7430932,3743507.29386871,3553497.6586789,3812958.068834,3586614.63515836,3611982.14785113
"A2BDX3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase","Mocs3",0.038530909299227,15,12,24,186385.694415362,192346.288767486,178861.880016131,195279.790749475,193855.47052961,190466.785102412,183066.866307058,192990.216375293,186816.924581936,192851.159111536,189609.438543429,191339.572165013,193615.57176857,191275.829924827,193717.912805054,188923.339839828,189217.889729024,191469.400915185,183501.963108961,187363.712686895,192697.085282044,191320.216942541,191144.405717321,189370.707598639
"A2CG63-2","AT-rich interactive domain-containing protein 4B","Arid4b",0.0145749944091962,9,12,24,99629.5606872967,90068.5680185217,96223.8046161487,93909.523605593,95384.914234157,92683.1540541796,90553.3450811042,90512.2682193447,93965.3488147562,91196.6112867234,94029.5932060196,95057.9201464757,93390.0844199099,92653.8428031915,91889.4702740165,93063.232333341,99549.9871511364,103668.724897523,96024.3511546322,98246.9946496016,96880.0092635183,89665.4890762961,90505.9109808089,95511.6001544622
"A2RS58","Crk-like protein","Crkl",0.0291250065127405,12,12,24,519083.115971645,492470.859482087,515538.820592801,536765.588463632,513956.418005468,530854.939236465,505526.392093014,509121.275839563,535082.807932668,523156.307197167,532972.658507613,535620.517262824,520507.423880739,522097.596887158,523630.45710159,512741.154082404,529277.706525255,514342.609549351,532156.184320133,536297.109762524,534080.626487198,527182.51508021,542185.184109404,522226.4156484
"A4FUS1","40S ribosomal protein S16","Rps16",0.0127464921538957,12,9,24,493358.580001561,479505.923367828,489789.254322594,497699.976407635,485697.789530284,455721.644329501,454026.194089332,452496.150887224,481117.654941118,473939.103545444,462662.465854876,448872.06230645,456384.172612132,463561.739081316,446300.526225084,456170.324124575,478771.387752241,482292.149973322,455689.519418238,484891.722911532,465710.783443595,480898.317652362,421077.568107247,440531.731114025
"A5D6P3","Multidrug resistance-associated protein 1","Abcc1",0.0258595015808601,24,18,24,485726.730301923,502812.922265639,492036.657991289,474332.001004089,474194.354975709,469056.807225154,496901.401394619,526783.399757538,500948.598269358,483087.165492915,481008.45699573,460925.913064194,486783.178464209,474122.352282673,489685.404949935,496928.661763751,475211.994450826,484224.022776271,448152.496968876,466541.956550253,442649.505057962,461497.589873927,455989.93657711,462543.867811894
"A5GZX3","Lactoylglutathione lyase","Glo1",0.0303683234387183,15,15,24,645345.633105469,637990.353387925,657174.327653653,678389.244724055,682444.109999001,672241.770813352,664443.748152288,674202.877970847,670962.521314252,662279.430720841,674652.65703368,677772.722681464,696807.397047809,671598.080452687,681803.906568548,660260.879084887,684042.017832446,682255.551207177,684713.962418788,690154.700632086,703669.193212157,686701.829262648,689885.4205687,708669.587121413
"A6H630","Protein-glutamate O-methyltransferase","Armt1",0.0400822274503332,18,9,24,220362.047295192,211916.709729992,217089.340983854,226808.399888481,227611.924236811,215875.286519137,228727.306149444,206026.00917351,215709.617211506,223624.401072692,218186.354747549,236444.403269413,227879.792742015,238480.038617391,216609.737011563,236611.152632941,224530.673649112,218148.346263448,227313.454242881,227928.504732558,226843.904289077,229752.380728174,227742.431644698,222306.384529183
"A6H663","BAG family molecular chaperone regulator 3","Bag3",0.0290905950113025,9,12,24,764314.883940066,756178.641371793,778015.583385416,796873.90244683,782730.409335087,768376.632760543,749620.584781871,774049.865010014,782269.27779218,774462.55766262,786085.786454247,775429.194154014,791907.979910435,776814.630320665,771561.664044979,758502.933965831,819359.277166751,805863.160508635,823375.5831956,797069.014877703,805575.066365631,778443.492480261,769645.455691195,800563.400572358
"A8C1T7","Cysteine-rich with EGF-like domain protein 1","Creld1",0.0419559997041156,24,15,24,269865.786026809,306894.11677178,286603.998788592,261531.907464351,259558.538338288,248574.315828408,279510.253118502,287109.895339668,288696.158985447,268328.15337886,282580.653182134,264578.356765263,281187.112603099,292380.781678609,295275.701273912,301081.043839881,266879.27786272,287335.087438209,261725.239640795,288592.622787376,255970.530888415,299977.611879239,269533.022014907,288945.739715985
"B0V2Q7","Lysocardiolipin acyltransferase 1","Lclat1",0.0340265645093073,24,12,24,87283.8008160985,98135.7747249745,95161.0726382618,82379.9499430557,79153.957467726,77704.6488245296,92612.3030101421,95284.5836924973,83241.2890853905,84162.8110816949,75189.8164506984,79785.3938250338,85604.7088296665,82972.0980374296,86293.1265145417,93586.4025457768,86422.6660216038,92343.3989837045,81747.1909972124,91519.5165787937,88571.3235174304,95347.124905687,93447.7322573485,95283.4616783622
"B1ATC3","Trinucleotide repeat-containing gene 6C protein","Tnrc6c",0.00721907775566076,12,9,24,16172.4021900255,13421.401414483,14766.7736092156,13294.5954116042,13357.7743020532,12924.9895921153,12653.7851278549,14939.7673555223,13123.1299297109,15083.3932941162,15064.8713401114,16164.132894876,14495.1393968184,15714.5209681347,11030.424866137,13014.7179591356,22038.6514461431,15828.7620498998,16059.4664273395,17408.6133632405,16367.9118736327,14806.8428014483,10544.4155817054,12367.395474441
"B1AWE0","Clathrin light chain A","Clta",0.000128942355842047,6,15,24,662622.66040968,680025.178309142,647870.002353574,689472.095028265,641117.492850843,674676.878583272,626488.766671712,659451.106171221,669813.551150243,691865.456354906,677349.683590773,658524.462733197,637561.382401716,643487.930667894,632207.808114218,657190.527034761,687325.180259684,663541.459639107,638504.089214466,654969.542896399,663494.268004693,641099.814105797,627954.473358234,633173.109121018
"B2KGA7","Protein archease","Zbtb8os",0.0390596988601314,6,18,24,104470.732373579,102377.254964697,105984.114721153,111281.511491204,112209.271755687,111453.081657249,102471.796119678,108902.183007263,113474.505378597,122746.905830128,112394.402639143,116856.329264678,112979.244924862,109298.416446251,105856.831349982,104811.038519213,119609.212537724,118280.918276327,112345.610977331,108972.857548679,111516.579435517,110457.066971765,107215.544519777,105766.429290897
"B2MWM9","Calreticulin","Calr",0.00319616601846799,9,15,24,8683850.99542952,8551864.91354431,8600171.50152582,8584547.5500091,8472737.14211536,8474993.33509109,8162457.03091489,8188110.0187486,8336392.23631009,8348850.70727541,8638280.15175797,8211106.95377159,8286133.44622324,7946550.64270475,8290204.80636166,8111326.79696731,8285151.56974355,8098078.45401002,8870789.92113268,8142364.74330558,8417716.94407095,7730483.8071988,8224968.02419799,8049835.294418
