Entry	Status	Protein names	Gene names	Length
Q07231	reviewed	Zinc finger and SCAN domain-containing protein 21 (CtFIN51) (Transcription factor RU49) (Zinc finger protein 38) (Zfp-38)	Zscan21 Zfp-38 Zfp38 Zipro1 Znf38	555
B2KFW1	reviewed	Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31)	Zscan20 Zfp31	1030
Q07230	reviewed	Zinc finger and SCAN domain-containing protein 2 (Zinc finger protein 29) (Zfp-29)	Zscan2 Zfp-29 Zfp29	614
Q9Z1D7	reviewed	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 96) (Zfp-96)	Zscan12 Zfp96 Znf96	501
Q3URR7	reviewed	Zinc finger and SCAN domain-containing protein 10 (Zinc finger protein 206)	Zscan10 Zfp206	782
Q62377	reviewed	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 2) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 2) (U2AF35-related protein) (URP)	Zrsr2 U2af1-rs2 U2af1l2 U2af1rs2	462
Q64707	reviewed	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1 (CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 1) (SP2) (U2(RNU2) small nuclear RNA auxiliary factor 1-like 1)	Zrsr1 Sp2 Sp2-7 U2af1-rs1 U2af1l1	428
Q6NZP1	reviewed	DNA annealing helicase and endonuclease ZRANB3 (Annealing helicase 2) (AH2) (Zinc finger Ran-binding domain-containing protein 3) [Includes: DNA annealing helicase ZRANB3 (EC 3.6.4.-); Endonuclease ZRANB3 (EC 3.1.-.-)]	Zranb3	1069
Q9R020	reviewed	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	Zranb2 Zfp265 Zis Znf265	330
Q7M760	reviewed	Ubiquitin thioesterase Zranb1 (EC 3.4.19.12) (Zinc finger Ran-binding domain-containing protein 1)	Zranb1 Trabid	708
Q62384	reviewed	Zinc finger protein ZPR1 (Zinc finger protein 259)	Zpr1 Zfp259 Znf259	459
Q8BGZ8	reviewed	Zona pellucida-like domain-containing protein 1 (ZP domain-containing protein 1) (Cupulin) [Cleaved into: Zona pellucida-like domain-containing protein 1, secreted form]	Zpld1	415
Q6X786	reviewed	Zona pellucida-binding protein 2	Zpbp2	326
Q62522	reviewed	Zona pellucida-binding protein 1 (Inner acrosomal membrane IAM38) (Sp38)	Zpbp Zpbp1	350
Q60736	reviewed	Zona pellucida sperm-binding protein 3 receptor (Sperm fertilization protein 56) (sp56)	Zp3r Sp56	579
P10761	reviewed	Zona pellucida sperm-binding protein 3 (Sperm receptor) (Zona pellucida glycoprotein 3) (Zp-3) (Zona pellucida protein C) [Cleaved into: Processed zona pellucida sperm-binding protein 3]	Zp3 Zp-3 Zpc	424
P20239	reviewed	Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2]	Zp2 Zp-2 Zpa	713
Q62005	reviewed	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	Zp1	623
Q9DAH2	reviewed	E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF4) (Sperizin) (Zinc/RING finger protein 4)	Znrf4 Spzn	327
Q5SSZ7	reviewed	E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3)	Znrf3	913
Q71FD5	reviewed	E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2)	Znrf2	238
Q91V17	reviewed	E3 ubiquitin-protein ligase ZNRF1 (EC 2.3.2.27) (Nerve injury-induced gene 283 protein) (RING-type E3 ubiquitin transferase ZNRF1) (Zinc/RING finger protein 1)	Znrf1 Nin283	227
P56873	reviewed	Protein ZNRD2 (Autoantigen p27 homolog) (Protein C184L) (Sjoegren syndrome/scleroderma autoantigen 1 homolog) (Zinc ribbon domain-containing protein 2)	Znrd2 C184l Sssca1	199
Q8R0E5	reviewed	Putative uncharacterized protein ZNRD1-AS1 (T-complex testis-expressed protein 4) (ZNRD1 antisense RNA 1) (ZNRD1 antisense gene protein 1)	Znrd1-as Tctex4 Znrd1as	213
Q3UFB2	reviewed	Box C/D snoRNA protein 1 (Zinc finger HIT domain-containing protein 6)	Znhit6 Bcd1	460
Q9CQK1	reviewed	Zinc finger HIT domain-containing protein 3 (Thyroid hormone receptor interactor 3) (Thyroid receptor-interacting protein 3) (TR-interacting protein 3) (TRIP-3)	Znhit3 Trip3	151
Q9QY66	reviewed	Zinc finger HIT domain-containing protein 2 (Protein FON)	Znhit2 ORF6	399
Q8R331	reviewed	Zinc finger HIT domain-containing protein 1	Znhit1	154
Q8R151	reviewed	NFX1-type zinc finger-containing protein 1	Znfx1	1909
Q8BI99	reviewed	Zinc finger protein 879	Znf879 Zfp879	563
Q3U3I9	reviewed	Zinc finger protein 865	Znf865 Zfp865	1058
Q8R1N0	reviewed	Zinc finger protein 830 (Coiled-coil domain-containing protein 16) (Ovus mutant candidate gene 1 protein)	Znf830 Ccdc16 Omcg1 Zfp830	363
Q505G8	reviewed	Zinc finger protein 827	Znf827 Zfp827	1078
Q6PD05	reviewed	Zinc finger protein 821	Znf821 Zfp821	413
A2AKY4	reviewed	Zinc finger protein 804A	Znf804a Zfp804a	1200
Q0VEE6	reviewed	Zinc finger protein 800	Znf800 Zfp800	662
Q8BGV5	reviewed	Zinc finger protein 8 (Zinc finger protein 128)	Znf8 Zfp128	572
Q8BIF9	reviewed	Zinc finger protein 787	Znf787 Zfp787	381
Q8BV42	reviewed	Zinc finger protein 786	Znf786 Zfp786	777
Q8BI69	reviewed	Zinc finger protein 784	Znf784 Zfp784	297
Q8BI73	reviewed	Zinc finger protein 775	Znf775 Zfp775	538
Q8BJ90	reviewed	Zinc finger protein 771	Znf771 Zfp771	317
Q8BIQ8	reviewed	Zinc finger protein 770	Znf770 Zfp770	705
Q8R0T2	reviewed	Zinc finger protein 768	Znf768 Zfp768	568
Q8BMU0	reviewed	Zinc finger protein 76 (Zinc finger protein 523)	Znf76 Zfp523	568
Q8BH05	reviewed	Zinc finger protein 750	Znf750 Zfp750	703
Q3U133	reviewed	Zinc finger protein 746	Znf746 Zfp746	652
Q6NZQ6	reviewed	Zinc finger protein 740	Znf740 Zfp740	180
Q6P5C7	reviewed	Zinc finger protein 728	Znf728 Zfp458	752
A2ANX9	reviewed	Zinc finger protein 711	Znf711 Zfp711	761
Q3U288	reviewed	Zinc finger protein 710	Znf710 Zfp710	666
Q9D115	reviewed	Zinc finger protein 706	Znf706 Zfp706	76
Q9ERQ3	reviewed	Zinc finger protein 704 (Glucocorticoid-induced gene 1 protein)	Znf704 Gig1 Zfp704	566
P0CL69	reviewed	Zinc finger protein 703 (Zinc finger elbow-related proline domain protein 1)	Znf703 Zeppo1 Zfp703 Zpo1	594
Q569E7	reviewed	Zinc finger protein 697	Znf697 Zfp697	569
Q3U381	reviewed	Zinc finger protein 692	Znf692 Zfp692	531
Q3TDE8	reviewed	Zinc finger protein 691	Znf691 Zfp691	283
Q8BKK5	reviewed	Zinc finger protein 689	Znf689 Zfp689	500
Q9D2D7	reviewed	Zinc finger protein 687	Znf687 Kiaa1441 Zfp687	1237
I7HJS4	reviewed	Tissue-resident T-cell transcription regulator protein ZNF683 (Homolog of Blimp-1 in T-cell) (Hobit) (Zinc finger protein 683)	Znf683 Gm13060 Zfp683	458
Q99LH4	reviewed	Zinc finger protein 672	Znf672 Zfp672	468
Q8K2R5	reviewed	Zinc finger protein 668	Znf668 Zfp668	619
Q2TL60	reviewed	Zinc finger protein 667 (Myocardial ischemic preconditioning up-regulated protein 1)	Znf667 Mip1 Zfp667	609
Q4VA44	reviewed	Zinc finger protein 664	Znf664 Zfp664	261
Q9DAU9	reviewed	Zinc finger protein 654	Znf654 Zfp654	571
Q6YND2	reviewed	Zinc finger protein 653 (67 kDa zinc finger protein) (Zinc finger protein Zip67)	Znf653 Zfp653 Zip67	615
Q5DU09	reviewed	Zinc finger protein 652	Znf652 Kiaa0924 Zfp652	608
Q8BZ34	reviewed	Zinc finger protein 641	Znf641 Zfp641	422
Q99KZ6	reviewed	Zinc finger protein 639 (Zinc finger protein ZASC1)	Znf639 Zasc1 Zfp639	485
Q61464	reviewed	Zinc finger protein 638 (Nuclear protein 220) (Zinc finger matrin-like protein)	Znf638 Np220 Zfml Zfp638	1960
Q6A085	reviewed	Zinc finger protein 629	Znf629 Kiaa0326 Zfp629	867
Q8CJ78	reviewed	Zinc finger protein 628 (Zinc finger protein expressed in embryonal cells and certain adult organs)	Znf628 Zec Zfp628	1038
Q91VY9	reviewed	Zinc finger protein 622	Znf622 D15Ertd806e Zfp622	476
Q80YY7	reviewed	Zinc finger protein 618	Znf618 Kiaa1952 Zfp618	953
Q8BZ47	reviewed	Zinc finger protein 609	Znf609 Kiaa0295 Zfp609	1413
Q56A10	reviewed	Zinc finger protein 608	Znf608 Kiaa1281 Zfp608	1511
Q80YR4	reviewed	E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)	Znf598 Zfp598	908
Q9DB42	reviewed	Zinc finger protein 593 (Zinc finger protein T86)	Znf593 Zfp593	134
Q8BHZ4	reviewed	Zinc finger protein 592 (Zfp-592)	Znf592 Kiaa0211 Zfp592	1262
Q3V080	reviewed	Zinc finger protein 583	Znf583 Zfp583	568
Q9DB38	reviewed	Zinc finger protein 580	Znf580 Zfp580	172
Q80VM4	reviewed	Zinc finger protein 579	Znf579 Zfp579	562
Q3TXZ1	reviewed	Zinc finger protein 575	Znf575 Zfp575	239
Q8BY46	reviewed	Zinc finger protein 574	Znf574 Zfp574	900
Q80W31	reviewed	Zinc finger protein 569 (Mszf21) (Zinc finger protein 74) (Zfp-74)	Znf569 Zfp74	679
E9PYI1	reviewed	Zinc finger protein 568	Znf568 chato Zfp568	671
B2RUI1	reviewed	Zinc finger protein 551	Znf551 Zfp551	696
Q0GGX2	reviewed	Zinc finger protein 541 (Spermatogenic cell HDAC-interacting protein 1)	Znf541 Ship1 Zfp541	1363
Q8K083	reviewed	Zinc finger protein 536	Znf536 Kiaa0390 Zfp536	1302
Q6NXK2	reviewed	Zinc finger protein 532	Znf532 Kiaa1629 Zfp532	1036
Q8BI66	reviewed	Zinc finger protein 526	Znf526 Kiaa1951 Zfp526	675
Q9D0B1	reviewed	Zinc finger protein 524	Znf524 Zfp524	321
Q6KAS7	reviewed	Zinc finger protein 521 (Ecotropic viral integration site 3 protein)	Znf521 Evi3 Zfp521	1311
B2RRE4	reviewed	Zinc finger protein 518B	Znf518b Kiaa1729 Zfp518b	1077
B2RRF6	reviewed	Zinc finger protein 518A	Znf518a Kiaa0335 Zfp518 Zfp518a Znf518	1478
Q7TSH3	reviewed	Zinc finger protein 516	Znf516 Kiaa0222 Zfp516	1157
Q6PD29	reviewed	Zinc finger protein 513	Znf513 Zfp513	541
Q69Z99	reviewed	Zinc finger protein 512	Znf512 Kiaa1805 Zfp512	562
Q6P0X2	reviewed	Zinc finger protein 511	Znf511 Zfp511	227
Q6ZPY5	reviewed	Zinc finger protein 507	Znf507 Kiaa1084 Zfp507	941
Q7TMA2	reviewed	Zinc finger protein 503 (Zinc finger protein Nolz-1)	Znf503 Nolz1 Zfp503	652
Q5SXI5	reviewed	Zinc finger protein 496 (NSD1-interacting zinc finger protein 1) (Zinc finger protein with KRAB and SCAN domains 17)	Znf496 Nizp11 Zfp496 Zkscan17	585
Q5HZG9	reviewed	Zinc finger protein 488	Znf488 Gm1206 Zfp488	337
Q3US17	reviewed	Zinc finger protein 48 (Zinc finger protein 553)	Znf48 Zfp48 Zfp553 Znf553	591
Q6V5K9	reviewed	Zinc finger protein 474 (Testis-specific zinc finger protein) (TSZFP)	Znf474 Zfp474	347
Q8BI67	reviewed	Zinc finger protein 473 homolog (Zinc finger protein 100) (Zfp-100)	Znf473 Zfp100 Zfp473	892
Q8JZL0	reviewed	Zinc finger protein 467 (Endothelial cell-derived zinc finger protein) (EZI)	Znf467 Ezi Zfp467 MNCb-3350	594
B1AWL2	reviewed	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	Znf462 Zfp462	2495
Q8C0P7	reviewed	E3 SUMO-protein ligase ZNF451 (EC 2.3.2.-) (E3 SUMO-protein transferase ZNF451) (Zinc finger protein 451)	Znf451 Zfp451	1056
Q8R2V3	reviewed	Zinc finger protein 445	Znf445 Zfp445	986
Q8BPP0	reviewed	Zinc finger protein 436 (Zinc finger protein 46) (Zfp-46) (Zinc finger protein MLZ-4)	Znf436 Kiaa1710 Mlz-4 Zfp46	452
E9QAG8	reviewed	Zinc finger protein 431 (Zinc finger protein 932)	Znf431 Zfp431 Zfp932	526
Q8C1M2	reviewed	Zinc finger protein 428	Znf428 Zfp428	176
Q8R1D1	reviewed	Zinc finger protein 426	Znf426 Kiaa4237 Zfp426	550
Q80TS5	reviewed	Zinc finger protein 423 (Early B-cell factor-associated zinc finger protein) (Olf1/EBF-associated zinc finger protein) (Smad- and Olf-interacting zinc finger protein)	Znf423 Ebfaz Kiaa0760 Nur12 Oaz Zfp423	1292
Q9DCK4	reviewed	Zinc finger protein 414	Znf414 Zfp414	299
Q8BKX7	reviewed	Zinc finger protein 410 (Another partner for ARF 1) (Zinc finger protein APA-1)	Znf410 Apa1 D12Ertd748e Zfp410	478
Q9Z1D9	reviewed	Zinc finger protein 394 (Zinc finger protein 94) (Zfp-94) (Zinc finger protein with KRAB and SCAN domains 14)	Znf394 Zfp94 Zfp99 Zkscan14	521
A2A5E6	reviewed	Zinc finger protein 385C	Znf385c Zfp385c	429
Q8BXJ8	reviewed	Zinc finger protein 385B (Zinc finger protein 533)	Znf385b Zfp385b Zfp533 Znf533	482
Q8VD12	reviewed	Zinc finger protein 385A (Hematopoietic zinc finger protein)	Znf385a Hzf Zfp385a	386
B2RXC5	reviewed	Zinc finger protein 382 (KRAB/zinc finger suppressor protein 1) (KS1) (Multiple zinc finger and krueppel-associated box protein KS1)	Znf382 Zfp382	579
Q0VDT2	reviewed	Zinc finger protein 367 (C2H2 zinc finger protein ZFF29)	Znf367 Zff29 Zfp367	340
Q6NS86	reviewed	Zinc finger protein 366 (Dendritic cell-specific transcript protein) (DC-SCRIPT)	Znf366 Zfp366	746
Q8BG89	reviewed	Protein ZNF365 (DISC1-binding zinc-finger protein) (Su48)	Znf365 Dbz Kiaa0844 Zfp365	408
Q571J5	reviewed	Zinc finger protein 354C (Kidney, ischemia, and developmentally-regulated protein 3)	Znf354c Kiaa4218 Kid3 Zfp354c	560
Q9QXT9	reviewed	Zinc finger protein 354B (Kidney, ischemia, and developmentally-regulated protein 2)	Znf354b Kid2 Zfp354b	601
Q61751	reviewed	Zinc finger protein 354A (Kidney, ischemia, and developmentally-regulated protein 1) (Renal transcription factor Kid-1) (Transcription factor 17) (TCF-17)	Znf354a Kid1 Tcf17 Zfp354a	572
Q9R0B7	reviewed	Zinc finger protein 346 (Just another zinc finger protein)	Znf346 Jaz Zfp346	294
A2A5K6	reviewed	Zinc finger protein 335 (NRC-interacting factor 1) (NIF-1)	Znf335 Zfp335	1337
Q922H9	reviewed	Zinc finger protein 330 (Nucleolar autoantigen 36) (Nucleolar cysteine-rich protein)	Znf330 Noa36 Zfp330	316
Q6GQR8	reviewed	Zinc finger protein 329	Znf329 Zfp329	522
O88291	reviewed	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs) (Zinc finger protein-associated with nuclear matrix of 75 kDa)	Znf326 Zan75 Zfp326 Zird	580
Q8BZ89	reviewed	Zinc finger protein 322 (Zinc finger protein 322A)	Znf322 Zfp322a Znf322a	410
Q80V23	reviewed	Zinc finger protein 32 (Zinc finger protein 637)	Znf32 Zfp637	272
Q9ERR8	reviewed	Zinc finger protein 319	Znf319 Zfp319	581
Q99PP2	reviewed	Zinc finger protein 318 (Testicular zinc finger protein)	Znf318 Tzf Zfp318	2237
Q6PGE4	reviewed	Zinc finger protein 316	Znf316 Zfp316	1016
E9Q6W4	reviewed	Zinc finger protein 296 (Hepatocellular carcinoma-associated antigen MHCA108)	Znf296 Zfp296	445
Q9EQB9	reviewed	Zinc finger protein 287 (Zfp-287) (Zinc finger protein SKAT-2)	Znf287 Skat2 Zfp287	759
Q99LI5	reviewed	Zinc finger protein 281	Znf281 Zfp281	893
Q68FE8	reviewed	Zinc finger protein 280D (Suppressor of hairy wing homolog 4)	Znf280d Suhw4 Zfp280d	974
Q6P3Y5	reviewed	Zinc finger protein 280C (Suppressor of hairy wing homolog 3)	Znf280c Kiaa1584 Suhw3 Zfp280c	742
Q8CE64	reviewed	Zinc finger protein 276 (Zfp-276)	Znf276 Zfp276	614
P15620	reviewed	Zinc finger protein 271 (Zinc finger protein 35) (Zfp-35)	Znf271 Zfp-35 Zfp35	580
Q62513	reviewed	Zinc finger protein 260 (Zfp-260)	Znf260 Zfp260	407
Q7TNU6	reviewed	Zinc finger protein 250 (Zinc finger protein 647)	Znf250 Zfp647 Znf647	535
Q91VN1	reviewed	Zinc finger protein 24 (Hypomyelinated CNS protein) (Zinc finger protein 191) (Zinc finger protein ZF-12)	Znf24 Hmcns Zfp191 Zfp24	368
P24399	reviewed	Zinc finger protein 239 (Zfp-239) (Zinc finger protein MOK-2)	Znf239 Mok-2 Mok2 Zfp239	201
Q61116	reviewed	Zinc finger protein 235 (Zinc finger protein 93) (Zfp-93)	Znf235 Zfp93	645
Q9ERU3	reviewed	Zinc finger protein 22 (Zinc finger protein 422) (Zinc finger protein Krox-25) (Zinc finger protein Krox-26)	Znf22 Krox25 Krox26 Zfp422	237
Q6IQX8	reviewed	Zinc finger protein 219	Znf219 Zfp219	726
Q9JMD0	reviewed	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (49 kDa zinc finger protein) (Zinc finger protein 207)	Znf207 Bugz Zep Zfp207	495
Q8BIQ3	reviewed	Zinc finger protein 2 (Zinc finger protein 661) (Zfp-661)	Znf2 Zfp661	427
Q62394	reviewed	Zinc finger protein 185 (LIM domain protein Zfp185) (P1-A)	Znf185 Zfp185	352
Q6P560	reviewed	Zinc finger protein 182 (Zinc finger protein 21)	Znf182 Zfp182 Znf21	627
Q810A1	reviewed	Zinc finger protein 18 (Zinc finger protein 535) (Zinc finger protein with KRAB and SCAN domains 6)	Znf18 Zfp535 Zkscan6	556
Q61624	reviewed	Zinc finger protein 148 (Beta enolase repressor factor 1) (G-rich box-binding protein) (Transcription factor BFCOL1) (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89)	Znf148 Zbp89 Zfp148	794
Q8BQN6	reviewed	Zinc finger protein OZF (Only zinc finger protein) (Zinc finger protein 146)	Znf146 Ozf Zfp146	292
O70230	reviewed	Zinc finger protein 143 (Zfp-143) (Selenocysteine tRNA gene transcription-activating factor) (mStaf)	Znf143 Staf Zfp143	638
G5E869	reviewed	Zinc finger protein 142	Znf142 Kiaa0236 Zfp142	1843
Q8K3J5	reviewed	Zinc finger protein 131	Znf131 Zfp131	619
Q7TSI0	reviewed	Zinc finger protein 12	Znf12 Zfp12	686
Q0VAW7	reviewed	Zinc finger protein 112 (Zfp-112)	Znf112 Zfp112	879
O88466	reviewed	Zinc finger protein 106 (Zfp-106) (H3a minor histocompatibility antigen) (Son of insulin receptor mutant) (Zinc finger protein 474)	Znf106 H3a Sh3bp3 Sirm Zfp106 Znf474	1888
Q9CQG3	reviewed	Zinc finger MYND domain-containing protein 19 (Melanin-concentrating hormone receptor 1-interacting zinc finger protein) (MCH-R1-interacting zinc finger protein)	Zmynd19 Mizip	227
Q8C0R7	reviewed	Zinc finger MYND domain-containing protein 15	Zmynd15	736
Q8R5C8	reviewed	Zinc finger MYND domain-containing protein 11	Zmynd11	602
Q99ML0	reviewed	Zinc finger MYND domain-containing protein 10 (Protein BLu)	Zmynd10 Blu	440
Q3U2E2	reviewed	Zinc finger MYM-type protein 5	Zmym5	627
A2A791	reviewed	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	Zmym4 Kiaa0425 Zfp262 Znf262	1549
Q9JLM4	reviewed	Zinc finger MYM-type protein 3 (DXHXS6673E protein) (Zinc finger protein 261)	Zmym3 Kiaa0385 Zfp261 Znf261	1370
Q9CU65	reviewed	Zinc finger MYM-type protein 2 (Zinc finger protein 198)	Zmym2 Zfp198 Znf198	1376
Q80W54	reviewed	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	Zmpste24 Face1	475
Q8CIE2	reviewed	Zinc finger MIZ domain-containing protein 2 (PIAS-like protein Zimp7)	Zmiz2 D11Bwg0280e Zimp7	920
Q6P1E1	reviewed	Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17)	Zmiz1 Rai17 Zimp10	1072
Q9CQR5	reviewed	Zinc finger matrin-type protein 5 (U11/U12 small nuclear ribonucleoprotein 20 kDa protein) (U11/U12 snRNP 20 kDa protein)	Zmat5 D11Bwg1548e	170
Q8BZ94	reviewed	Zinc finger matrin-type protein 4	Zmat4	229
O54836	reviewed	Zinc finger matrin-type protein 3 (Wild-type p53-induced gene 1 protein) (Zinc finger protein WIG-1) (p53-activated gene 608 protein)	Zmat3 Pag608 Wig1	290
Q9CPW7	reviewed	Zinc finger matrin-type protein 2	Zmat2	199
Q3V0C1	reviewed	Zinc finger matrin-type protein 1	Zmat1 Kiaa1789	714
Q9Z1D8	reviewed	Zinc finger protein with KRAB and SCAN domains 5 (Zinc finger protein 95) (Zfp-95)	Zkscan5 Zfp95	819
Q91VW9	reviewed	Zinc finger protein with KRAB and SCAN domains 3 (SCAN-KRAB-zinc finger protein) (Zinc finger protein 306) (Zinc finger protein 307) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	Zkscan3 Skz1 Zfp306 Zfp307 Zfp47	553
Q8BGS3	reviewed	Zinc finger protein with KRAB and SCAN domains 1	Zkscan1	561
Q80YP6	reviewed	Zinc finger protein interacting with ribonucleoprotein K	Zik1	463
Q7TQ40	reviewed	Zinc finger protein ZIC 5 (Odd paired-related protein) (Opa-related protein) (Zinc finger protein of the cerebellum 5)	Zic5 Opr	622
Q61467	reviewed	Zinc finger protein ZIC 4 (Zinc finger protein of the cerebellum 4)	Zic4	341
Q62521	reviewed	Zinc finger protein ZIC 3 (Zinc finger protein of the cerebellum 3)	Zic3	466
Q62520	reviewed	Zinc finger protein ZIC 2 (Zinc finger protein of the cerebellum 2)	Zic2	530
P46684	reviewed	Zinc finger protein ZIC 1 (Zinc finger protein of the cerebellum 1)	Zic1 Zic	447
Q8C0Q2	reviewed	Zinc fingers and homeoboxes protein 3 (Triple homeobox protein 1) (Zinc finger and homeodomain protein 3)	Zhx3 Kiaa0395 Tix1	951
Q8C0C0	reviewed	Zinc fingers and homeoboxes protein 2 (Alpha-fetoprotein regulator 1) (AFP regulator 1) (Regulator of AFP) (Zinc finger and homeodomain protein 2)	Zhx2 Afr1 Raf	836
P70121	reviewed	Zinc fingers and homeoboxes protein 1	Zhx1	873
Q0VGT4	reviewed	Protein ZGRF1 (GRF-type zinc finger domain-containing protein 1)	Zgrf1	1863
Q8VDM1	reviewed	Zinc finger CCCH-type with G patch domain-containing protein	Zgpat Kiaa1847	511
Q1WG82	reviewed	GATA-type zinc finger protein 1 (GATA-like protein 1) (GLP-1)	Zglp1 Glp1	266
Q8K0C5	reviewed	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (Secretory lectin ZG16)	Zg16	167
Q6ZPK7	reviewed	Lateral signaling target protein 2 homolog (Zinc finger FYVE domain-containing protein 28)	Zfyve28 Kiaa1643 Lst2	905
Q3TXX3	reviewed	Protrudin (Zinc finger FYVE domain-containing protein 27)	Zfyve27	415
Q5DU37	reviewed	Zinc finger FYVE domain-containing protein 26	Zfyve26 Kiaa0321	2529
Q8VCM3	reviewed	Zinc finger FYVE domain-containing protein 21	Zfyve21	234
Q9DAZ9	reviewed	Abscission/NoCut checkpoint regulator (ANCHR) (Zinc finger FYVE domain-containing protein 19)	Zfyve19 Anchr	389
Q80U44	reviewed	Zinc finger FYVE domain-containing protein 16 (Endofin) (Endosomal-associated FYVE domain protein)	Zfyve16 Kiaa0305	1528
Q810J8	reviewed	Zinc finger FYVE domain-containing protein 1	Zfyve1	777
P20662	reviewed	Zinc finger Y-chromosomal protein 2	Zfy2 Zfy-2	777
P10925	reviewed	Zinc finger Y-chromosomal protein 1	Zfy1 Zfy-1	782
P17012	reviewed	Zinc finger X-chromosomal protein	Zfx	799
O88532	reviewed	Zinc finger RNA-binding protein	Zfr	1074
Q8CCH7	reviewed	Zinc finger protein ZFPM2 (Friend of GATA protein 2) (FOG-2) (Friend of GATA 2) (mFOG-2) (Zinc finger protein multitype 2)	Zfpm2 Fog2	1151
